"ID","Estadillo","Especie","Fcc_IFN2","Hm_IFN2","Fcc_IFN3","Hm_IFN3","Fcc_IFN4","Hm_IFN4"
"328",281,106,15,3,5,4,4,4
"329",281,107,15,1,5,1,5,1
"330",281,117,10,2,10,2,8,3
"331",281,120,NA,NA,10,2,10,2
"332",281,136,NA,NA,5,2,3,2
"333",281,2102,NA,NA,25,13,30,15
"334",281,4101,NA,NA,7,2,NA,NA
"335",283,102,5,2,5,1,NA,NA
"336",283,106,5,2,NA,NA,4,6
"337",283,107,5,1,NA,NA,NA,NA
"338",283,117,NA,NA,NA,NA,6,4
"339",283,119,5,3,NA,NA,NA,NA
"340",283,3102,NA,NA,NA,NA,15,2
"341",283,5102,NA,NA,NA,NA,10,2
"342",290,102,20,1,NA,NA,NA,NA
"343",290,104,5,3,NA,NA,NA,NA
"344",290,106,20,1,40,5,20,4
"345",290,107,15,1,NA,NA,35,1
"346",290,136,NA,NA,30,2,18,3
"347",290,137,NA,NA,15,4,NA,NA
"348",290,4104,NA,NA,5,16,6,12
"349",290,5102,NA,NA,2,2,2,1
"350",293,102,20,8,10,1,39,2
"351",293,104,15,3,NA,NA,NA,NA
"352",293,106,20,5,10,7,6,6
"353",293,107,15,1,20,1,18,1
"354",293,117,10,2,5,2,NA,NA
"355",293,120,NA,NA,NA,NA,2,3
"356",293,136,NA,NA,5,4,2,3
"357",293,2102,NA,NA,30,10,22,11
"358",295,102,40,10,NA,NA,20,2
"359",295,104,10,4,NA,NA,NA,NA
"360",295,106,10,4,10,3,12,5
"361",295,107,NA,NA,NA,NA,2,1
"362",295,117,5,3,5,2,4,4
"363",295,120,NA,NA,25,1,10,2
"364",295,134,NA,NA,10,3,NA,NA
"365",295,136,NA,NA,NA,NA,1,2
"366",295,144,NA,NA,NA,NA,2,2
"367",295,2102,NA,NA,30,14,24,12
"368",295,4104,NA,NA,5,3,NA,NA
"369",297,102,15,4,30,1,50,2
"370",297,104,10,3,NA,NA,NA,NA
"371",297,106,35,4,30,4,20,4
"372",297,107,15,1,15,1,10,1
"373",297,117,10,3,5,2,2,3
"374",297,119,NA,NA,NA,NA,1,4
"375",297,136,NA,NA,3,3,NA,NA
"376",297,2102,NA,NA,10,7,5,6
"377",298,102,25,6,45,1,65,1
"378",298,104,20,4,NA,NA,NA,NA
"379",298,106,20,3,10,3,6,3
"380",298,107,20,1,35,1,24,1
"381",298,117,5,2,3,2,3,3
"382",298,136,NA,NA,7,3,4,3
"383",298,2102,NA,NA,25,15,15,12
"384",301,102,30,10,40,8,10,1
"385",301,104,15,4,NA,NA,NA,NA
"386",301,106,20,4,10,4,8,7
"387",301,117,NA,NA,NA,NA,5,2
"388",301,121,NA,NA,NA,NA,1,3
"389",301,136,NA,NA,5,3,3,2
"390",301,2102,NA,NA,NA,NA,42,10
"391",303,102,40,15,NA,NA,NA,NA
"392",303,104,10,4,NA,NA,NA,NA
"393",303,106,15,4,NA,NA,NA,NA
"394",303,117,10,4,10,3,4,3
"395",303,119,NA,NA,3,6,3,12
"396",303,134,NA,NA,3,5,NA,NA
"397",303,1102,NA,NA,70,17,65,15
"398",303,1134,NA,NA,NA,NA,3,5
"399",303,2102,NA,NA,5,13,NA,NA
"400",308,102,60,10,60,1,60,1
"401",308,104,10,3,NA,NA,NA,NA
"402",308,106,10,3,5,3,2,3
"403",308,136,NA,NA,2,2,2,3
"404",308,2102,NA,NA,10,20,7,15
"405",308,4104,NA,NA,NA,NA,9,12
"406",309,102,20,2,NA,NA,63,2
"407",309,106,40,3,20,4,16,4
"408",309,5102,NA,NA,60,2,NA,NA
"409",310,102,15,2,15,2,17,3
"410",310,106,30,4,10,4,12,4
"411",310,119,10,15,NA,NA,NA,NA
"412",310,121,NA,NA,NA,NA,6,18
"413",310,2950,NA,NA,NA,NA,4,14
"414",312,102,30,13,NA,NA,NA,NA
"415",312,104,10,3,NA,NA,NA,NA
"416",312,106,15,4,30,4,12,4
"417",312,107,5,1,NA,NA,NA,NA
"418",312,136,NA,NA,5,4,8,2
"419",312,1102,NA,NA,NA,NA,9,10
"420",312,2102,NA,NA,30,2,35,2
