"ID","Estadillo","Especie","PosEspIFN2","OcupaIFN2","EstadoIFN2","PosEspIFN3","OcupaIFN3","EstadoIFN3","EdadIFN3","OrgMasaIFN3","PosEspIFN4","OcupaIFN4","EstadoIFN4","EdadIFN4","OrgMasaIFN4","IFN2Num_arb","IFN3Num_arb","IFN4Num_arb","CatRegIFN2","CatRegIFN3","CatRegIFN4"
"1000",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,1,1
"1001",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,4,1
"1002",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,4,4
"1003",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,4,3
"1004",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,3,4
"1005",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,1,3
"1006",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,3,3
"1007",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,3,1
"1008",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,2,3
"1009",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,2,2
"1010",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,2,4
"1011",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,3,2
"1012",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,2,1
"1013",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,4,2
"1014",475,"21",1,"7","3",1,80,4,50,2,1,80,4,0,2,24,23,20,NA,1,1
"1015",475,"21",2,"7","3",1,80,4,50,2,1,80,4,0,2,24,23,20,NA,1,1
"1016",475,"43",NA,NA,NA,3,10,2,0,1,3,10,2,0,1,NA,NA,NA,2,1,1
"1017",478,"21",2,"9","3",1,80,4,0,2,1,100,4,0,2,24,17,18,NA,1,NA
