"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","Stem_NFI2","BranchesOver7cm_NFI2","Branches7to2cm_NFI2","BranchesUnder2cmLeaves_NFI2","Roots_NFI2","TotalC_NFI2","Stem_NFI3","BranchesOver7cm_NFI3","Branches7to2cm_NFI3","BranchesUnder2cmLeaves_NFI3","Roots_NFI3","TotalC_NFI3","Stem_NFI4","BranchesOver7cm_NFI4","Branches7to2cm_NFI4","BranchesUnder2cmLeaves_NFI4","Roots_NFI4","TotalC_NFI4"
177,42.875619,-4.27461,"A","4",NA,NA,1.13863343992498,0,0.246338814523167,0.519029734213565,1.15591481787128,3.059916806533,1.54198348072421,0,0.443236188946671,1.01817783293609,1.84399240728439,4.84738990989136,0,0,0,0,0,0
179,42.876022,-4.237887,"A","1",NA,NA,24.2413708896914,0.00179570184892589,5.21695040823924,6.50785188391509,17.7820725957202,53.7500414794149,39.2854724384695,0.0149316909624762,7.72861372496678,6.40970913086039,22.1409521267753,75.5796791120344,0,0,0,0,0,0
182,42.86718041,-4.22554958,NA,NA,"A","1",0,0,0,0,0,0,0,0,0,0,0,0,15.6618631414242,0,3.45896780446206,1.92196942212605,7.44931670191503,28.4921170699273
183,42.854627,-4.518967,"A","4",NA,NA,24.287565968033,0,6.1494785142417,7.12575673183473,18.2516546374911,55.8144558516005,41.5876717978408,0,8.93869595184848,7.03377074117175,21.1231472193482,78.6832857102092,0,0,0,0,0,0
189,42.847769,-4.347466,"A","1",NA,NA,6.97375234849973,2.71226068337139,2.71226068337139,3.74822973517736,3.02635595473415,19.172859405154,27.7562426794329,7.45140975122421,7.45140975122421,10.297533629331,9.85087683252076,62.8074726437331,0,0,0,0,0,0
191,42.83818,-4.396202,"A","3E",NA,NA,0,0,0,0,0,0,1.10597253586641,0,0.178453911938388,0.570194865318748,1.28111862955913,3.13573994268268,0,0,0,0,0,0
192,42.839607,-4.273869,"A","1",NA,NA,25.5814814634122,6.7640499125841,6.7640499125841,9.34763135712198,9.09972362214593,57.5569362678483,64.5646643332694,12.36648476337,12.36648476337,17.0899597497628,18.7112080688355,125.098801678608,0,0,0,0,0,0
195,42.81307064,-4.89692111,NA,NA,"A","1",0,0,0,0,0,0,0,0,0,0,0,0,5.17811573191686,0,2.31640144604983,6.98900555841177,7.61716393201262,22.1006866683911
196,42.813167,-4.884886,"A","3E","A","1",15.8201975276644,0,2.10114355349758,3.79001059568913,12.6847048101252,34.3960564869763,67.9952759969073,0,12.4865656052832,23.8635192906105,54.615008201528,158.960369094329,25.1001505720935,0,3.0435332188521,4.75760083693509,13.9955595999949,46.8968442278757
197,42.795166,-4.884339,"A","4","A","1",10.5494422221964,0.00883260403471294,1.97930931195227,3.17507694193629,8.46687328160438,24.1795343617241,0.761054618990139,0.000254750297441394,0.464522056458358,0.364788322112397,1.0081699272033,2.59878967506164,24.1376689737625,0.186311415916094,5.15061302657529,3.7188204160399,11.6100204011232,44.803434233417
199,42.777565,-4.859357,"A","3E","A","6C",0,0,0,0,0,0,8.51589989139097,0,1.61870859090824,1.71232097638538,5.5843631111606,17.4312925698452,0.972812137353471,0,0.298349017747938,0.656896114819208,1.16982066271405,3.09787793263467
201,42.759364,-4.871033,"A","4",NA,NA,17.346376892256,0,4.17497837201167,8.97041786931083,15.8714147119411,46.3631878455196,31.6832420716656,0.702249226989715,4.17999263988241,6.32706327404571,16.2431352599787,59.1356824725621,0,0,0,0,0,0
