"Estadillo","SpeciesID","SpeciesName","NtreesNFI2","NtreesNFI3","NtreesNFI4","AgeNFI3","AgeNFI4","SPdevelopmentNFI2","SPdevelopmentNFI2name","SPdevelopmentNFI3","SPdevelopmentNFI3name","SPdevelopmentNFI4","SPdevelopmentNFI4name","Origin1NFI3","Origin1NFI3_EN","Origin2NFI3","Origin2NFI3_EN","Origin1NFI4","Origin1NFI4_EN","Origin2NFI4","Origin2NFI4_EN","SPcoverNFI2","SPcoverNFI3","SPcoverNFI4","RegenerNFI2","RegenerNFI2_EN","RegenerNFI3","RegenerNFI3_EN","RegenerNFI4","RegenerNFI4_EN"
368,"43","Quercus pyrenaica",NA,NA,NA,0,10,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,40,3,">15 stems",3,">15 stems",3,">15 stems"
371,"25","Pinus nigra",5,38,29,20,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",5,"Mixed: seed and plantation",70,60,60,0,NA,NA,NA,NA,NA
371,"43","Quercus pyrenaica",1,6,16,0,0,NA,NA,2,"Thicket",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,40,40,3,">15 stems",3,">15 stems",1,"1–4 stems"
382,"21","Pinus sylvestris",10,11,5,40,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",60,60,30,1,"1–4 stems",NA,NA,NA,NA
382,"21","Pinus sylvestris",10,11,5,40,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",40,60,30,1,"1–4 stems",NA,NA,NA,NA
382,"43","Quercus pyrenaica",9,12,27,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,30,3,">15 stems",3,">15 stems",3,">15 stems"
384,"21","Pinus sylvestris",11,10,15,30,0,NA,NA,3,"Polewood",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",NA,60,60,NA,NA,NA,NA,1,"1–4 stems"
384,"25","Pinus nigra",5,8,8,30,0,"2","Thicket",3,"Polewood",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",50,40,40,1,"1–4 stems",NA,NA,NA,NA
384,"25","Pinus nigra",5,8,8,30,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",50,40,40,1,"1–4 stems",NA,NA,NA,NA
386,"21","Pinus sylvestris",2,34,25,30,0,"2","Thicket",3,"Polewood",3,"Polewood",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",80,70,80,1,"1–4 stems",NA,NA,NA,NA
