"Estadillo","CoorX","CoorY","YearNFI2","YearNFI3","YearNFI4","CanopyNFI2","CanopyNFI3","CanopyNFI4","NtreesNFI2","NtreesNFI3","NtreesNFI4","HoNFI2","HoNFI3","HoNFI4","HmNFI2","HmNFI3","HmNFI4","DgNFI2","DgNFI3","DgNFI4","DmNFI2","DmNFI3","DmNFI4","DeadTreesNFI2","DeadTreesNFI3","DeadTreesNFI4","CompositionNFI2","CompositionNFI3","CompositionNFI4","StructureNFI2","StructureNFI3","StructureNFI4","ShannonNFI2","ShannonNFI3","ShannonNFI4","SlendernessNFI2","SlendernessNFI3","SlendernessNFI4","SDIR_NFI2","SDIR_NFI3","SDIR_NFI4","HartNFI2","HartNFI3","HartNFI4"
174,379899,4747817,91,"05/21/03 00:00:00","2019-03-18T23:00:00Z",50,75,80,7,9,17,6.8951048951049,7.63379035115706,8.5528712788526,7.14285714285714,7.77777777777778,7.82352943981395,0.400180851972848,0.371770613266956,0.337679908475816,0.356857142857143,0.318333333333333,0.269676470588235,0,0,0,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,20.0160128102482,24.4328097731239,29.0107973556194,0.199795714502969,0.526749041231745,1.2390274823698,166.923391526302,87.5274157095927,47.1534541837743
175,381914,4747807,91,"2006-11-03 00:00","2019-03-18T23:00:00Z",20,45,45,1,1,2,4,5,6.09999990463257,4,5,6.09999990463257,0.233,0.266,0.262559755103481,0.233,0.266,0.26025,0,0,0,"Pure","Pure","Pure","Even-aged","Even-aged","Even-aged",0,0,0,17.1673819742489,18.796992481203,23.4390005941693,0.0146560946647233,0.0181369831258444,0.0355239921203531,688.294789784993,550.497640783691,319.065879708511
181,398898,4746779,91,"2004-03-03 00:00","2019-04-03T22:00:00Z",80,80,80,16,18,24,11.1657275013189,12.6366197723676,14.1920812986921,10.53125,11.3333333333333,12.3749999801318,0.232876576752579,0.255226098021169,0.259169647624871,0.228375,0.248666666666667,0.250395833333333,0,0,1,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,46.1138478379858,45.5764075067024,49.4217488182316,0.325971069896758,0.411582528950217,0.53055810824607,52.2615619101883,44.2321929280871,35.1179519364259
184,377874,4745777,91,"06/13/03 00:00:00","2019-06-02T22:00:00Z",70,60,85,4,12,19,5.63661977236758,10.0464790894703,11.9236623077603,5,7.75,8.92631578445435,0.111596930961384,0.127459715858253,0.137712037466439,0.1075,0.123458333333333,0.132473684210526,0,0,0,"Pure","Pure","Pure","Even-aged","Uneven-aged","Uneven-aged",0,0,0,46.5116279069767,62.7742153223085,67.3818036967154,0.131593654598812,0.338298618148171,0.652560572251551,90.2911522314224,35.1510473860461,22.6905669524342
190,381869,4743777,91,"2006-06-03 00:00","2019-03-17T23:00:00Z",70,75,75,20,28,36,6.54507034144863,7.40187801085407,7.52600951458503,4.85,6.14285714285714,6.616666648123,0.136692995431368,0.14128542539332,0.153131502129524,0.12205,0.128964285714286,0.142597222222222,0,0,7,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,39.7378123719787,47.632234837995,46.4010907436307,0.853528939839778,1.18944641369759,0.933467962911407,35.9296848387038,29.4444218369902,34.8709745173963
193,345924,4743793,91,"2006-11-03 00:00","2019-09-11T22:00:00Z",90,90,90,61,46,57,11.7372646232609,12.7025040144721,16.1215861404678,9.67213114754098,11.1739130434783,12.9526315404658,0.184326309908787,0.204442880297524,0.253837460080956,0.168032786885246,0.199826086956522,0.241964912280702,2,1,1,"Mixed","Mixed","Mixed","Uneven-aged","Uneven-aged","Uneven-aged",0.955336067382699,0.722148310186487,0.614813479937973,57.5609756097561,55.9181897302002,53.5310323235607,1.59505677802768,1.04588277133859,1.29297905652767,17.0193954189638,22.320055128985,18.3488407422331
194,346920,4743814,91,"2006-11-03 00:00","2019-08-25T22:00:00Z",90,100,100,28,29,31,17.1083255602624,17.8310422816311,19.4063887249334,15.375,16.448275862069,18.4064516559724,0.366190853342118,0.39586464727924,0.424712654284844,0.338517857142857,0.369948275862069,0.400741935483871,0,0,0,"Mixed","Mixed","Mixed","Uneven-aged","Uneven-aged","Uneven-aged",0.871833677006503,0.873370432343614,0.844414474263258,45.4185788890647,44.4610150533625,45.9309346643439,0.532498652422675,0.544608096753806,0.459482576468056,24.2968952613605,24.0959964207723,25.3801667786591
200,345856,4735793,91,"04/24/03 00:00:00","2019-07-07T22:00:00Z",90,90,70,28,46,30,9.79577471545948,13.3488263631568,16.9379967847211,8.41071428571429,12.4673913043478,16.096666653951,0.16883746410591,0.22423004734075,0.286265378043987,0.166892857142857,0.220880434782609,0.284366666666667,0,0,0,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,50.3958912903916,56.4440726342208,56.6053217229551,0.447045635506571,0.704908738630175,0.467400562537721,33.644712535372,24.6893730582793,29.0695382387894
203,346995,4734838,91,"04/23/03 00:00:00","2019-07-03T22:00:00Z",95,80,80,60,46,43,15.0707355302631,16.9147106052613,19.4639436263097,13.5,15.6521739130435,18.2744187643362,0.181667828742461,0.229668238988329,0.279462087123701,0.1788,0.226782608695652,0.276790697674419,0,0,1,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,75.503355704698,69.0184049079755,66.0225178009121,1.01643694087798,0.719420389067163,0.622385701332623,15.3809711798178,19.6614423217314,21.5031109688093
205,345868,4733795,91,"03/17/03 00:00:00","2019-07-03T22:00:00Z",95,80,75,45,45,40,10.5852893947387,14.8585289394739,18.4600628508126,10.3222222222222,14.3444444444444,17.635000038147,0.161532160540522,0.214729610337176,0.255866066038465,0.159344444444444,0.212366666666667,0.2531625,0,0,0,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0.134742191112784,0,64.7793040931595,67.5456495578925,69.6588161285616,0.637296714739712,0.710317238708251,0.686986658752653,25.1676163528557,21.3903995829662,20.1053051964811
211,346963,4729817,91,"03/20/03 00:00:00","2019-04-11T22:00:00Z",60,70,70,16,24,22,9.57073553026307,12.8633802276324,16.7512539588384,8.875,13.1041666666667,16.5590909611095,0.208172592156124,0.283505566523834,0.358465241753583,0.20459375,0.281145833333333,0.354022727272727,0,0,0,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,43.3786467084161,46.6098555020378,46.7740901514296,0.233211841186113,0.371832802050515,0.403432247322661,56.4029860003029,42.5833212964006,37.8964861151071
213,345887,4728809,91,"2004-08-03 00:00","2019-05-08T22:00:00Z",60,60,55,23,30,20,9.60125200723605,12.7413143197405,16.1565884818786,7.56521739130435,11.6833333333333,15.5300000667572,0.162885896312085,0.219369247312987,0.278912038105206,0.154847826086957,0.208766666666667,0.27265,0,1,0,"Mixed","Mixed","Mixed","Uneven-aged","Uneven-aged","Uneven-aged",1.04550218929785,1.07784784079557,0.837528888073341,48.8558191773129,55.9635957209005,56.9594720952034,0.593125538485827,0.503082175019836,0.376399979884183,28.3858993294404,28.9326767645981,34.0726194238088
