"Estadillo","SpeciesID","SpeciesName","CanopySHRNFI2","CanopySHRNFI3","CanopySHRNFI4","HmSHRNFI2","HmSHRNFI3","HmSHRNFI4"
227,102,"Erica spp.",10,15,NA,15,3,NA
227,137,"Vaccinium myrtillus",NA,NA,1,NA,NA,2
227,144,"Lonicera spp.",NA,5,1,NA,20,8
227,300,NA,NA,NA,5,NA,NA,18
227,1102,"Erica arborea",NA,10,9,NA,12,17
227,4104,"Cytisus spp.",NA,5,5,NA,18,12
227,8102,"Erica umbellata",NA,NA,14,NA,NA,3
229,102,"Erica spp.",40,40,65,3,2,2
229,106,"Calluna vulgaris",10,10,6,3,3,3
229,119,"Rosa spp.",5,5,NA,7,10,NA
234,102,"Erica spp.",35,30,NA,3,2,NA
234,106,"Calluna vulgaris",15,15,NA,2,2,NA
234,119,"Rosa spp.",5,5,7,5,10,10
234,3102,"Erica ciliaris",NA,NA,21,NA,NA,2
234,4104,"Cytisus spp.",NA,NA,2,NA,NA,4
236,102,"Erica spp.",35,60,NA,5,1,NA
236,103,"Other papilionoid shrubs (Ht>1.5m)",20,NA,NA,7,NA,NA
236,104,"Other papilionoid shrubs (Ht<1.5m)",NA,7,NA,NA,6,NA
236,106,"Calluna vulgaris",5,5,2,3,3,3
236,1102,"Erica arborea",NA,15,15,NA,16,16
236,3102,"Erica ciliaris",NA,NA,40,NA,NA,1
236,4104,"Cytisus spp.",NA,NA,3,NA,NA,10
236,5102,"Erica umbellata",NA,NA,20,NA,NA,1
241,102,"Erica spp.",40,25,NA,7,1,NA
241,106,"Calluna vulgaris",10,10,4,3,5,3
241,117,"Halimium spp.",20,10,2,4,2,3
241,1102,"Erica arborea",NA,NA,11,NA,NA,18
241,2102,"Erica australis",NA,30,17,NA,10,10
241,3102,"Erica ciliaris",NA,NA,18,NA,NA,2
241,5102,"Erica umbellata",NA,NA,8,NA,NA,2
242,102,"Erica spp.",30,10,NA,10,7,NA
242,104,"Other papilionoid shrubs (Ht<1.5m)",5,NA,NA,3,NA,NA
242,106,"Calluna vulgaris",30,NA,3,4,NA,3
242,107,"Arctostaphylos uva-ursi",5,2,NA,1,1,NA
242,117,"Halimium spp.",15,NA,2,3,NA,3
242,136,"Chamaespartium tridentatum",NA,2,1,NA,3,2
242,1102,"Erica arborea",NA,NA,3,NA,NA,11
242,2102,"Erica australis",NA,NA,4,NA,NA,7
242,4104,"Cytisus spp.",NA,NA,4,NA,NA,3
242,5102,"Erica umbellata",NA,NA,6,NA,NA,2
250,102,"Erica spp.",50,10,10,10,1,1
