"ID","Estadillo","Especie","CD","CoorX","CoorY","N_IFN2","AB_IFN2","VCC_IFN2","N_IFN3","AB_IFN3","VCC_IFN3","N_IFN4","AB_IFN4","VCC_IFN4","EspecieN"
"108",123,71,20,381873,4757828,0,0,0,0,0,0,31.8310155048877,1.17180625,9.01242163993573,"Fagus sylvatica"
"109",123,71,25,381873,4757828,0,0,0,14.1471,0.650711,3.96237,14.1471180021723,0.786177777777778,5.72677697195306,"Fagus sylvatica"
"110",125,43,10,378901,4756814,891.26,6.2742211,21.5152986,254.648,2.25793,5.58266,254.648124039101,2.727125,10.735334294572,"Q. pyrenaica"
"111",125,43,15,378901,4756814,63.66,0.9408034,2.9244826,604.789,9.61829,40.1088,350.141170553764,6.97718125,34.43309082702,"Q. pyrenaica"
"112",125,43,20,378901,4756814,0,0,0,31.831,0.9216,4.43595,318.310155048877,8.08645,44.8017621790498,"Q. pyrenaica"
"113",125,43,25,378901,4756814,0,0,0,0,0,0,28.2942360043446,1.21227777777778,5.61864762185055,"Q. pyrenaica"
"114",131,42,15,385851,4755778,0,0,0,0,0,0,63.6620310097753,1.03345625,4.11889136219768,"Q. petraea"
"115",131,42,20,385851,4755778,0,0,0,0,0,0,95.493046514663,2.68308125,12.2290522557415,"Q. petraea"
"116",131,42,25,385851,4755778,0,0,0,0,0,0,14.1471180021723,0.629377777777778,3.09242649929719,"Q. petraea"
"117",131,42,30,385851,4755778,14.14,0.8773375,4.8996606,0,0,0,0,0,0,"Q. petraea"
"118",131,42,35,385851,4755778,56.58,5.2060479,22.9103775,28.2942,2.85257,15.747,0,0,0,"Q. petraea"
"119",131,42,40,385851,4755778,14.14,1.7030116,8.4340466,42.4414,5.05546,23.6239,14.1471180021723,1.755625,11.0853823396264,"Q. petraea"
"120",131,42,45,385851,4755778,10.18,1.7841751,7.4944498,15.2789,2.34831,11.1408,20.3718499231281,3.216435,18.6354112677757,"Q. petraea"
"121",131,42,50,385851,4755778,10.18,2.1116418,8.8556676,10.1859,2.07829,8.89928,10.1859249615641,2.080802,11.5184932797648,"Q. petraea"
