"ID","Estadillo","CoorX","CoorY","Fecha2","FRACCION2","FRACCION3","Fecha3","FRACCION4","Fecha4","IFN2Num_arb","IFN3Num_arb","IFN4Num_arb","IFN2_muert","IFN3_muert","IFN4_muert","N_IFN2","N_IFN3","N_IFN4","Ho_IFN2","Ho_IFN3","Ho_IFN4","HartIFN2","HartIFN3","HartIFN4","H_shannon2","H_shannon3","H_shannon4","SDIR_IFN2","SDIR_IFN3","SDIR_IFN4","max_abIFN2","n_especies_10IFN2","especie_dominanteIFN2","ComposicionIFN2","max_abIFN3","n_especies_10IFN3","especie_dominanteIFN3","ComposicionIFN3","max_abIFN4","n_especies_10IFN4","especie_dominanteIFN4","ComposicionIFN4","nCD_IFN2","FormaIFN2","nCD_IFN3","FormaIFN3","nCD_IFN4","FormaIFN4"
"31",203,346995,4734838,91,95,80,"04/23/03 00:00:00",80,"2019-07-03T22:00:00Z",60,46,43,0,0,1,1994.72,969.0774,611.862853593951,15.0707355302631,16.9147106052613,19.4639436263097,15.3809711798178,19.6614423217314,21.5031109688093,0,0,0,1.01643694087798,0.719420389067163,0.622385701332623,100,1,21,"pura",100,1,21,"pura",100,1,21,"pura",4,"Irregular",4,"Irregular",4,"Irregular"
"32",205,345868,4733795,91,95,80,"03/17/03 00:00:00",75,"2019-07-03T22:00:00Z",45,45,40,0,0,0,1510.18,1061.0331,778.091490119476,10.5852893947387,14.8585289394739,18.4600628508126,25.1676163528557,21.3903995829662,20.1053051964811,0,0.134742191112784,0,0.637296714739712,0.710317238708251,0.686986658752653,100,1,21,"pura",97.1995021712448,1,21,"pura",100,1,21,"pura",4,"Irregular",4,"Irregular",4,"Irregular"
"33",211,346963,4729817,91,60,70,"03/20/03 00:00:00",70,"2019-04-11T22:00:00Z",16,24,22,0,0,0,367.81,357.2145,265.965818440839,9.57073553026307,12.8633802276324,16.7512539588384,56.4029860003029,42.5833212964006,37.8964861151071,0,0,0,0.233211841186113,0.371832802050515,0.403432247322661,100,1,21,"pura",100,1,21,"pura",100,1,21,"pura",3,"Irregular",4,"Irregular",5,"Irregular"
"34",213,345887,4728809,91,60,60,"2004-08-03 00:00",55,"2019-05-08T22:00:00Z",23,30,20,0,1,0,1442.97,788.7015,353.677950054307,9.60125200723605,12.7413143197405,16.1565884818786,28.3858993294404,28.9326767645981,34.0726194238088,1.04550218929785,1.07784784079557,0.837528888073341,0.593125538485827,0.503082175019836,0.376399979884183,53.7003060349366,2,21,"mixta",60.2906493727293,3,21,"mixta",65.1259484111305,2,21,"mixta",4,"Irregular",6,"Irregular",6,"Irregular"
"35",215,347873,4728789,91,90,80,"2004-08-03 00:00",75,"2019-04-03T22:00:00Z",26,32,15,0,0,0,1407.6,682.5981,203.152614511194,9.49029742368291,13.7025040144721,16.7355719684947,29.0763391392196,28.9185626060003,43.4017669269885,0.993159777190697,0.766397947469434,0.700433059072132,0.688511268839096,0.568481805367729,0.25979916323616,49.2520072432481,3,21,"mixta",61.2763950479509,2,21,"mixta",71.8391532731121,2,21,"mixta",5,"Irregular",5,"Irregular",5,"Irregular"
"36",217,346936,4727784,91,80,75,"2004-04-03 00:00",75,"2019-04-03T22:00:00Z",24,21,28,0,0,0,760.38,848.8267,519.482173039766,9.43411575789549,10.4854461355244,13.1637822116712,39.7962943753171,33.889311721546,34.5058845847552,1.09334428701637,0.941755455071807,1.17323481570559,0.369906924439446,0.463626457566306,0.487624295422854,60.0042965798661,3,26,"mixta",47.9938785612794,3,21,"mixta",44.5531387312843,3,21,"mixta",3,"Irregular",6,"Irregular",6,"Irregular"
"37",219,344871,4726777,91,70,75,"2004-09-03 00:00",75,"2019-05-20T22:00:00Z",29,28,27,0,0,0,1687.04,802.8486,417.339981064083,7.95492965855137,11.6511736368432,14.1800313788419,31.6854693356419,31.3597561035846,35.7385551092652,0,0,0,0.540636240345676,0.43664833260412,0.365291431403919,100,1,21,"pura",100,1,21,"pura",100,1,21,"pura",3,"Irregular",3,"Irregular",3,"Irregular"
"38",227,373885,4739823,91,40,50,"03/27/03 00:00:00",70,"2019-06-04T22:00:00Z",1,1,5,0,0,0,14.14,5.09296,78.9409184521214,12,13.5,12.9532259356591,229.431596594998,339.813225064079,89.9560029265551,0,0,0,0.0367292314665576,0.0162242741632887,0.172175560961902,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",1,"Regular",1,"Regular",3,"Irregular"
"39",229,361861,4737796,91,70,75,"03/14/03 00:00:00",85,"2019-09-05T22:00:00Z",5,6,18,0,0,0,70.73,120.2505,1457.15315422375,8.1,7.94209706414415,9.58031307937448,151.975062341138,118.872266195083,28.3091530211704,0,0,0,0.0890892234929598,0.127121039204803,0.969122577021252,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",2,"Regular",3,"Irregular",4,"Irregular"
"40",234,357904,4735777,91,80,80,"2003-12-03 00:00",90,"2019-07-14T22:00:00Z",6,13,34,0,0,0,763.94,682.5981,1793.14720677534,6,8.10923331348472,11.8092957253026,62.4278391300961,48.8648809182186,20.7027104402663,0,0,0,0.205588282975277,0.305915020415955,0.961917835499157,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",1,"Regular",3,"Irregular",5,"Irregular"
