"ID","Estadillo","CoorX","CoorY","Calidad","VCC_m3_ha_IFN2","VCC_total_IFN2","Porc_VCC_IFN2","VCC_m3_ha_IFN3","VCC_total_IFN3","Porc_VCC_IFN3","VCC_m3_ha_IFN4","VCC_total_IFN4","Porc_VCC_IFN4"
"82",193,345924,4743793,4,4.14755519150808,209.60898625275,1.97871058185782,NA,NA,NA,1.35938338886395,258.12410699777,0.5266394544372
"83",193,345924,4743793,5,NA,NA,NA,NA,NA,NA,2.10732548782178,258.12410699777,0.816400107813249
"84",193,345924,4743793,6,7.89023459336006,209.60898625275,3.76426351485039,NA,NA,NA,NA,NA,NA
"85",194,346920,4743814,2,103.011040338788,169.941259404388,60.6156743217169,152.813492334953,185.654192733593,82.3108221176748,167.430305635071,212.260068234781,78.879794502787
"86",194,346920,4743814,3,66.9302190656,169.941259404388,39.3843256782831,32.8407003986401,185.654192733593,17.6891778823252,40.7907623077894,212.260068234781,19.2173509822256
"87",194,346920,4743814,4,NA,NA,NA,NA,NA,NA,4.03900029192089,212.260068234781,1.90285451498741
"88",200,345856,4735793,2,84.5117948364885,84.5117948364885,100,185.419057503611,188.927030508841,98.1432127547964,172.323154142161,184.318161881299,93.4922269098671
"89",200,345856,4735793,3,NA,NA,NA,3.50797300523011,188.927030508841,1.85678724520361,11.9950077391388,184.318161881299,6.50777309013289
"90",203,346995,4734838,2,286.439435121676,286.439435121676,100,233.838198541506,240.502429811616,97.2290378623909,235.849082061961,276.578206298074,85.2739213326816
"91",203,346995,4734838,3,NA,NA,NA,6.6642312701097,240.502429811616,2.77096213760907,35.2747366677243,276.578206298074,12.7539827305511
"92",203,346995,4734838,4,NA,NA,NA,NA,NA,NA,5.45438756838817,276.578206298074,1.97209593676729
"93",205,345868,4733795,2,141.502403514215,141.502403514215,100,217.273164615346,217.273164615346,100,240.101784423991,264.022819151236,90.9397851276094
"94",205,345868,4733795,3,NA,NA,NA,NA,NA,NA,23.9210347272453,264.022819151236,9.06021487239062
"95",211,346963,4729817,2,46.0726052992927,46.0726052992927,100,121.104310158216,121.104310158216,100,NA,NA,NA
"96",211,346963,4729817,3,NA,NA,NA,NA,NA,NA,146.60911637082,160.870099303556,91.1350940948785
"97",211,346963,4729817,4,NA,NA,NA,NA,NA,NA,14.2609829327357,160.870099303556,8.86490590512149
"98",213,345887,4728809,2,62.3986713718461,66.1134795239038,94.3811637523713,116.195299372047,119.204448247283,97.475640448422,NA,NA,NA
"99",213,345887,4728809,3,NA,NA,NA,1.65822898587673,119.204448247283,1.39107978792606,107.828206769918,127.880123698443,84.3197548230326
"100",213,345887,4728809,4,3.71480815205772,66.1134795239038,5.61883624762874,1.35091988935945,119.204448247283,1.13327976365198,12.4448345903281,127.880123698443,9.7316410325615
"101",213,345887,4728809,5,NA,NA,NA,NA,NA,NA,7.60708233819698,127.880123698443,5.94860414440591
"102",215,347873,4728789,2,65.1482317442885,70.1966356332769,92.8081967982591,145.683814768044,149.765608541874,97.274545328817,14.6130262992375,104.163397499483,14.0289455317642
"103",215,347873,4728789,3,5.04840388898837,70.1966356332769,7.19180320174085,4.08179377383014,149.765608541874,2.725454671183,89.5503712002457,104.163397499483,85.9710544682358
"104",217,346936,4727784,2,52.3436062497676,57.5430137368521,90.9643114786067,85.5400498581989,85.5400498581989,100,83.2643646880594,144.741271274575,57.5263461173467
"105",217,346936,4727784,3,5.1994074870845,57.5430137368521,9.03568852139328,NA,NA,NA,61.4769065865152,144.741271274575,42.4736538826533
"106",219,344871,4726777,2,58.7571536109476,61.7147215532405,95.2076783823104,103.801418354066,103.801418354066,100,77.1821172184859,121.695965348398,63.4220838772463
"107",219,344871,4726777,3,2.95756794229288,61.7147215532405,4.79232161768959,NA,NA,NA,44.5138481299126,121.695965348398,36.5779161227537
"108",227,373885,4739823,2,8.98384298131744,8.98384298131744,100,4.51035432101891,4.51035432101891,100,10.4847787715181,22.6038736928116,46.3848759465171
"109",227,373885,4739823,3,NA,NA,NA,NA,NA,NA,6.86061083316104,22.6038736928116,30.3514827874075
"110",227,373885,4739823,4,NA,NA,NA,NA,NA,NA,5.25848408813249,22.6038736928116,23.2636412660754
"111",229,361861,4737796,2,5.51461106914224,13.9810695963858,39.4434133320372,8.37214100198904,16.8259872002743,49.7572053415834,36.5523526740617,51.5974288916559,70.8414226430045
"112",229,361861,4737796,3,5.11352061561626,13.9810695963858,36.5746023962153,8.4538461982853,16.8259872002743,50.2427946584166,12.4396165714817,51.5974288916559,24.1089853480924
"113",229,361861,4737796,4,3.35293791162733,13.9810695963858,23.9819842717475,NA,NA,NA,2.60545964611249,51.5974288916559,5.04959200890305
"114",234,357904,4735777,2,14.0418026727917,14.0418026727917,100,14.0495674152226,23.0946706903178,60.8346730880763,58.6385337560162,89.3449775180628,65.6315949535734
"115",234,357904,4735777,3,NA,NA,NA,9.04510327509518,23.0946706903178,39.1653269119237,30.7064437620466,89.3449775180628,34.3684050464266
"116",236,359901,4735801,2,30.5221604470758,30.5221604470758,100,43.1096405338373,43.1096405338373,100,79.7848779733747,94.4730094133841,84.4525631911028
"117",236,359901,4735801,3,NA,NA,NA,NA,NA,NA,14.6881314400094,94.4730094133841,15.5474368088972
"118",241,352865,4734813,2,85.982323148599,88.3028086996681,97.3721271324886,154.660181145283,159.99346965449,96.6665586284712,241.228700028669,249.258170785777,96.7786529397232
"119",241,352865,4734813,3,2.32048555106912,88.3028086996681,2.62787286751145,5.33328850920714,159.99346965449,3.33344137152878,8.02947075710746,249.258170785777,3.22134706027685
"120",242,353876,4734814,2,79.6999078496431,83.0503255646746,95.9657982166218,119.312908096868,124.136731730264,96.1141045312217,178.322027272645,178.322027272645,100
"121",242,353876,4734814,3,3.35041771503148,83.0503255646746,4.03420178337817,4.82382363339574,124.136731730264,3.88589546877825,NA,NA,NA
"122",250,352892,4733753,2,40.4819222173153,40.4819222173153,100,93.5169666951726,93.5169666951726,100,124.743727295058,124.743727295058,100
"123",252,359878,4733793,2,34.3691683957957,39.6071731352343,86.7751108579397,37.2808457446832,47.3766641356026,78.6903139443865,47.3146805650097,71.4765398012834,66.1960983233833
