"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","Quality","VCC_m3_ha_IFN2","VCC_total_IFN2","Porc_VCC_IFN2","VCC_m3_ha_IFN3","VCC_total_IFN3","Porc_VCC_IFN3","VCC_m3_ha_IFN4","VCC_total_IFN4","Porc_VCC_IFN4"
106,42.849964,-4.837051,"A","1",NA,NA,2,9.5952906497917,9.5952906497917,100,51.0868562284264,51.0868562284264,100,NA,NA,NA
107,42.851306,-4.751421,"A","1",NA,NA,2,31.8838178258227,31.8838178258227,100,172.453939332273,178.763337839858,96.4705299286606,NA,NA,NA
107,42.851306,-4.751421,"A","1",NA,NA,3,NA,NA,NA,6.30939850758518,178.763337839858,3.52947007133942,NA,NA,NA
108,42.852406,-4.678019,"A","1","A","1",2,10.2904201800509,10.2904201800509,100,70.2939753867599,73.2897297819855,95.9124499378876,203.445756491007,212.515208150848,95.7323281760604
108,42.852406,-4.678019,"A","1","A","1",3,NA,NA,NA,2.99575439522557,73.2897297819855,4.08755006211242,9.06945165984033,212.515208150848,4.26767182393961
112,42.834223,-4.689762,"A","1",NA,NA,2,5.57378169565334,7.37239056480235,75.6034511012476,19.3992167696374,21.9611243392911,88.3343515110012,NA,NA,NA
112,42.834223,-4.689762,"A","1",NA,NA,3,1.79860886914902,7.37239056480235,24.3965488987524,2.56190756965365,21.9611243392911,11.6656484889988,NA,NA,NA
128,42.94497,-4.496672,"A","4","A","1",2,140.778425623001,151.160666888945,93.1316515866046,224.939463701375,258.159000328114,87.132140818442,253.448790227374,319.541691910489,79.3163448287588
128,42.94497,-4.496672,"A","4","A","1",3,10.3822412659448,151.160666888945,6.8683484133954,33.2195366267396,258.159000328114,12.867859181558,53.6282860925137,319.541691910489,16.7828760534748
128,42.94497,-4.496672,"A","4","A","1",4,NA,NA,NA,NA,NA,NA,12.4646155906018,319.541691910489,3.90077911776639
129,42.94513,-4.484419,"A","1",NA,NA,2,4.98317749894584,93.4617134614199,5.33178487146274,49.0080917827403,120.956032712761,40.517277793925,NA,NA,NA
129,42.94513,-4.484419,"A","1",NA,NA,3,63.2580676165515,93.4617134614199,67.6834024048401,50.0134072083244,120.956032712761,41.3484189970855,NA,NA,NA
129,42.94513,-4.484419,"A","1",NA,NA,4,22.824844625769,93.4617134614199,24.4215987279014,10.9420392108189,120.956032712761,9.04629472826983,NA,NA,NA
129,42.94513,-4.484419,"A","1",NA,NA,5,2.3956237201536,93.4617134614199,2.56321399579571,10.9924945108779,120.956032712761,9.08800848071971,NA,NA,NA
144,42.918438,-4.459274,"A","1",NA,NA,2,124.307844096276,174.688109666462,71.1598770709815,145.332353260891,222.714299767827,65.2550614901675,NA,NA,NA
144,42.918438,-4.459274,"A","1",NA,NA,3,6.16627984467188,174.688109666462,3.52987954157005,58.8009544953524,222.714299767827,26.4019663562917,NA,NA,NA
144,42.918438,-4.459274,"A","1",NA,NA,4,44.2139857255144,174.688109666462,25.3102433874485,18.5809920115831,222.714299767827,8.34297215354075,NA,NA,NA
145,42.918594,-4.447025,"A","1",NA,NA,2,85.6234984349123,129.365578039252,66.1872344503671,135.398250085582,158.610743887626,85.3651188859629,NA,NA,NA
145,42.918594,-4.447025,"A","1",NA,NA,3,31.9814814465289,129.365578039252,24.7217860664798,13.4014191661327,158.610743887626,8.44925055999201,NA,NA,NA
145,42.918594,-4.447025,"A","1",NA,NA,4,9.26538560024298,129.365578039252,7.16217230323176,9.81107463591127,158.610743887626,6.18563055404514,NA,NA,NA
145,42.918594,-4.447025,"A","1",NA,NA,5,2.4952125575678,129.365578039252,1.92880717992131,NA,NA,NA,NA,NA,NA
146,42.918901,-4.422528,"A","4","A","1",2,NA,NA,NA,24.5302839984494,81.7063255182658,30.0225029614942,NA,NA,NA
146,42.918901,-4.422528,"A","4","A","1",3,NA,NA,NA,22.9870158110668,81.7063255182658,28.1337040495451,5.44867819306714,71.7131184344411,7.59788210583566
146,42.918901,-4.422528,"A","4","A","1",4,10.1013767496292,10.1013767496292,100,29.4078889872727,81.7063255182658,35.9921815119423,66.264440241374,71.7131184344411,92.4021178941643
146,42.918901,-4.422528,"A","4","A","1",5,NA,NA,NA,4.78113672147683,81.7063255182658,5.85161147701837,NA,NA,NA
147,42.919053,-4.410279,"A","4","A","1",2,14.2528737446989,92.3059704437835,15.4409012506718,121.399818375484,140.437098554764,86.4442655287014,129.720935189964,165.908672031973,78.188158341093
147,42.919053,-4.410279,"A","4","A","1",3,68.544923686124,92.3059704437835,74.2583858406748,4.10872986375432,140.437098554764,2.92567270759451,20.0732882850348,165.908672031973,12.0989988282025
147,42.919053,-4.410279,"A","4","A","1",4,9.50817301296061,92.3059704437835,10.3007129086534,14.293132481288,140.437098554764,10.1776045136068,16.1144485569746,165.908672031973,9.7128428307045
147,42.919053,-4.410279,"A","4","A","1",5,NA,NA,NA,0.635417834237351,140.437098554764,0.452457250097324,NA,NA,NA
152,42.908962,-4.4958,"A","1",NA,NA,2,29.8362315866213,46.0582033345392,64.779408284576,66.5726640222564,74.7826526630586,89.0215332721704,NA,NA,NA
152,42.908962,-4.4958,"A","1",NA,NA,3,16.2219717479179,46.0582033345392,35.220591715424,8.20998864080225,74.7826526630586,10.9784667278296,NA,NA,NA
157,42.911631,-4.275352,"A","4","A","4",2,8.81656228994245,48.7265705581154,18.0939520039217,27.6896210272837,51.3196323577384,53.9552209459826,190.775289116685,221.826838008129,86.0018971688603
157,42.911631,-4.275352,"A","4","A","4",3,39.9100082681729,48.7265705581154,81.9060479960783,11.0021520328247,51.3196323577384,21.4384856776272,31.0515488914436,221.826838008129,13.9981028311397
157,42.911631,-4.275352,"A","4","A","4",4,NA,NA,NA,6.4181299816067,51.3196323577384,12.5061885417792,NA,NA,NA
157,42.911631,-4.275352,"A","4","A","4",5,NA,NA,NA,6.20972931602331,51.3196323577384,12.100104834611,NA,NA,NA
159,42.899799,-4.507827,"A","1",NA,NA,2,15.6549142781738,35.1501473695857,44.537264989448,65.8476677027913,72.7933651263788,90.4583372241016,NA,NA,NA
159,42.899799,-4.507827,"A","1",NA,NA,3,19.4952330914118,35.1501473695857,55.462735010552,6.94569742358749,72.7933651263788,9.54166277589839,NA,NA,NA
163,42.890797,-4.507608,"A","4C",NA,NA,2,NA,NA,NA,10.3504049014261,10.3504049014261,100,NA,NA,NA
166,42.893625,-4.27498,"A","1",NA,NA,2,NA,NA,NA,1.20540261503122,1.20540261503122,100,NA,NA,NA
169,42.882273,-4.470666,NA,NA,NA,NA,3,1.97923628414873,1.97923628414873,100,NA,NA,NA,NA,NA,NA
170,42.885025,-4.238067,"A","3E","A","1",2,NA,NA,NA,121.048375330305,145.737726842731,83.0590526919164,153.745558700755,189.504284439992,81.1303866585876
170,42.885025,-4.238067,"A","3E","A","1",3,NA,NA,NA,23.380626781579,145.737726842731,16.0429473466466,35.758725739237,189.504284439992,18.8696133414124
170,42.885025,-4.238067,"A","3E","A","1",5,NA,NA,NA,1.30872473084693,145.737726842731,0.897999961437032,NA,NA,NA
177,42.875619,-4.27461,"A","4",NA,NA,2,NA,NA,NA,3.59117213592553,3.59117213592553,100,NA,NA,NA
177,42.875619,-4.27461,"A","4",NA,NA,3,5.84767791553372,5.84767791553372,100,NA,NA,NA,NA,NA,NA
179,42.876022,-4.237887,"A","1",NA,NA,1,4.11202597040666,82.0855237247462,5.00944110948885,NA,NA,NA,NA,NA,NA
179,42.876022,-4.237887,"A","1",NA,NA,2,12.0415652583433,82.0855237247462,14.6695357621421,68.8147638808729,101.789350156922,67.6050724115886,NA,NA,NA
179,42.876022,-4.237887,"A","1",NA,NA,3,44.780115690444,82.0855237247462,54.5529999182356,23.6095656498453,101.789350156922,23.1945342154635,NA,NA,NA
179,42.876022,-4.237887,"A","1",NA,NA,4,9.05302245786115,82.0855237247462,11.0287685904499,9.3650206262042,101.789350156922,9.20039337294788,NA,NA,NA
179,42.876022,-4.237887,"A","1",NA,NA,5,6.80907217412698,82.0855237247462,8.29509499989248,NA,NA,NA,NA,NA,NA
179,42.876022,-4.237887,"A","1",NA,NA,6,5.2897221735641,82.0855237247462,6.44415961979105,NA,NA,NA,NA,NA,NA
182,42.86718041,-4.22554958,NA,NA,"A","1",2,NA,NA,NA,NA,NA,NA,32.2877342180834,32.2877342180834,100
183,42.854627,-4.518967,"A","4",NA,NA,2,39.4236262548161,84.3593321805,46.7329757547903,97.527901858917,116.674938611523,83.5894177614637,NA,NA,NA
183,42.854627,-4.518967,"A","4",NA,NA,3,44.9357059256839,84.3593321805,53.2670242452097,17.3767786022866,116.674938611523,14.8933256867988,NA,NA,NA
183,42.854627,-4.518967,"A","4",NA,NA,4,NA,NA,NA,1.77025815031912,116.674938611523,1.51725655173757,NA,NA,NA
189,42.847769,-4.347466,"A","1",NA,NA,2,17.2986723876825,19.7341537163192,87.6585468845182,83.4028932322806,84.5083007064265,98.6919539679469,NA,NA,NA
189,42.847769,-4.347466,"A","1",NA,NA,3,2.43548132863665,19.7341537163192,12.3414531154818,1.1054074741459,84.5083007064265,1.30804603205308,NA,NA,NA
191,42.83818,-4.396202,"A","3E",NA,NA,3,NA,NA,NA,5.3867486545917,5.3867486545917,100,NA,NA,NA
192,42.839607,-4.273869,"A","1",NA,NA,2,78.6809560034237,81.7428276337284,96.2542626442724,205.263473373337,205.263473373337,100,NA,NA,NA
192,42.839607,-4.273869,"A","1",NA,NA,3,3.06187163030462,81.7428276337284,3.74573735572764,NA,NA,NA,NA,NA,NA
195,42.81307064,-4.89692111,NA,NA,"A","1",2,NA,NA,NA,NA,NA,NA,22.6353734552012,22.6353734552012,100
196,42.813167,-4.884886,"A","3E","A","1",2,5.74042681873962,51.393378494736,11.1695844617952,193.314285413461,194.497303204056,99.3917561986173,92.0222438980812,107.333099165898,85.7351968900554
196,42.813167,-4.884886,"A","3E","A","1",3,34.6461117757032,51.393378494736,67.4135711456523,NA,NA,NA,15.310855267817,107.333099165898,14.2648031099446
196,42.813167,-4.884886,"A","3E","A","1",4,11.0068399002932,51.393378494736,21.4168443925525,1.18301779059523,194.497303204056,0.608243801382722,NA,NA,NA
197,42.795166,-4.884339,"A","4","A","1",2,NA,NA,NA,3.83381657906457,3.83381657906457,100,69.4725172320538,75.7193048501662,91.7500726789904
197,42.795166,-4.884339,"A","4","A","1",3,NA,NA,NA,NA,NA,NA,6.24678761811241,75.7193048501662,8.2499273210096
199,42.777565,-4.859357,"A","3E","A","6C",2,NA,NA,NA,22.247349579245,22.247349579245,100,2.22356302388217,2.22356302388217,100
201,42.759364,-4.871033,"A","4",NA,NA,2,83.625397581143,83.625397581143,100,129.308106610699,129.308106610699,100,NA,NA,NA
202,42.750164,-4.882975,"A","1",NA,NA,2,26.9044310573834,28.3192223209552,95.0041309484518,45.995673864973,55.0072106552148,83.6175354414422,NA,NA,NA
202,42.750164,-4.882975,"A","1",NA,NA,3,1.41479126357174,28.3192223209552,4.99586905154824,6.21087664632418,55.0072106552148,11.2910227083754,NA,NA,NA
202,42.750164,-4.882975,"A","1",NA,NA,5,NA,NA,NA,2.80066014391762,55.0072106552148,5.09144185018245,NA,NA,NA
204,42.740962,-4.894913,"A","3E","A","1",2,165.001562337395,166.959519182301,98.8272864856736,102.496672143118,105.72761298085,96.94408986769,131.560005215102,134.348060039143,97.9247524502932
204,42.740962,-4.894913,"A","3E","A","1",3,1.95795684490519,166.959519182301,1.17271351432638,3.23094083773133,105.72761298085,3.05591013231004,2.78805482404093,134.348060039143,2.0752475497068
206,42.741363,-4.870492,"A","1",NA,NA,2,187.446382909706,195.190909174815,96.0323325006017,78.0375731992268,78.0375731992268,100,NA,NA,NA
206,42.741363,-4.870492,"A","1",NA,NA,3,6.42448279121656,195.190909174815,3.29138422397671,NA,NA,NA,NA,NA,NA
206,42.741363,-4.870492,"A","1",NA,NA,4,1.32004347389255,195.190909174815,0.676283275421557,NA,NA,NA,NA,NA,NA
207,42.731961,-4.894639,"A","1",NA,NA,2,247.753474346684,247.753474346684,100,263.560101221796,266.703522756321,98.8213798220441,NA,NA,NA
207,42.731961,-4.894639,"A","1",NA,NA,3,NA,NA,NA,3.1434215345251,266.703522756321,1.17862017795586,NA,NA,NA
208,42.732163,-4.88243,"A","1",NA,NA,2,152.071778158156,152.071778158156,100,183.402202208722,183.402202208722,100,NA,NA,NA
209,42.723162,-4.882158,"A","1",NA,NA,2,43.3865048098476,45.7934411742294,94.7439277270643,63.1454306025989,63.1454306025989,100,NA,NA,NA
209,42.723162,-4.882158,"A","1",NA,NA,3,2.4069363643818,45.7934411742294,5.25607227293572,NA,NA,NA,NA,NA,NA
210,42.714161,-4.881886,"A","1",NA,NA,2,116.034814074006,117.62678201558,98.6465939862545,159.907069387373,159.907069387373,100,NA,NA,NA
210,42.714161,-4.881886,"A","1",NA,NA,3,1.59196794157421,117.62678201558,1.35340601374553,NA,NA,NA,NA,NA,NA
