"ID","IDmuni","Municipio","IdComarca","Comarca","MUP","tipo_prop","pertenenci","deslindado","amojonado","AreaHa_CO"
"141",34049,"Castrejón de la Peña",3406,"CERVERA","Indiviso","Entidad Asociativa","Ayto. de Castrejón de la Peña,E.L.M. de Villanueva de la Peña,E.L.M. de Traspeña de la Peña,E.L.M. de Cubillo de Castrejon,E.L.M. de Loma de Castrejon,E.L.M. de Recueva de la Peña,E.L.M. de Pison de Castrejon,E.L.M. de Castrejon de la Peña,E.L.M.","Sí","Sí",1271.53703361617
"142",34049,"Castrejón de la Peña",3406,"CERVERA","Cueva Grande, Fuente Pepe, Las Corraletas, y Valles","E.L.M.","E.L.M. de Villanueva de la Peña","No","No",702.306029301382
"143",34049,"Castrejón de la Peña",3406,"CERVERA","Los Terreros","Ayto.","Ayto. de Castrejón de la Peña","No","No",38.1843688063621
"144",34049,"Castrejón de la Peña",3406,"CERVERA","Ojascal","E.L.M.","E.L.M. de Roscales de la Peña","Sí","Sí",889.213962425981
"145",34049,"Castrejón de la Peña",3406,"CERVERA","Alto","E.L.M.","E.L.M. de Castrejon de la Peña","Sí","Sí",547.315028246824
"146",34049,"Castrejón de la Peña",3406,"CERVERA","El Escobar","E.L.M.","E.L.M. de Recueva de la Peña","No","No",152.492115850114
"147",34049,"Castrejón de la Peña",3406,"CERVERA","Las Rozas","E.L.M.","E.L.M. de Colmenares de Ojeda","No","No",2.80440091268564
"148",34052,"Castrillo de Villavega",3402,"CAMPOS","Riberas del Río Valdavia en Castrillo de Villavega","C.A.","C.A. de Castiilla y León","Sí","No",46.0515332978228
"149",34055,"Cervatos de la Cueza",3402,"CAMPOS","Cerra y Valle","E.L.M.","E.L.M. de Calzadilla de la Cueza","No","No",161.704319918125
"150",34055,"Cervatos de la Cueza",3402,"CAMPOS","Carraco, Matalavilla y Roturos","Ayto.","Ayto. de Ledigos","No","No",1.69538686398366
"151",34055,"Cervatos de la Cueza",3402,"CAMPOS","Matasahagún y Valdeseñor","Aytos.","Ayto. de Bustillo del Páramo de Carrión y Ayto. de Villamoronta","No","No",4.69144800029577
"152",34056,"Cervera de Pisuerga",3406,"CERVERA","Ciruelo","Entidad Asociativa","Ayto. de Mudá, E.L.M. de San Cebrian de Muda","Sí","Sí",18.7476013673909
"153",34056,"Cervera de Pisuerga",3406,"CERVERA","Barcena","E.L.M.","E.L.M. de Arbejal","No","No",771.518121132882
"154",34056,"Cervera de Pisuerga",3406,"CERVERA","Puerto Valdenievas","E.L.M.","E.L.M. de Vidrieros","No","No",1.33235691792851
"155",34056,"Cervera de Pisuerga",3406,"CERVERA","Millares","E.L.M.","E.L.M. de Resoba","No","No",459.202385162165
"156",34056,"Cervera de Pisuerga",3406,"CERVERA","Matacorva y Monte Alto","E.L.M.","E.L.M. de Celada de Roblecedo","No","No",729.2779591526
"157",34056,"Cervera de Pisuerga",3406,"CERVERA","Dehesa y Quemado","E.L.M.","E.L.M. de Verdeña","No","No",305.822968607655
"158",34056,"Cervera de Pisuerga",3406,"CERVERA","Abajo","E.L.M.","E.L.M. de Rabanal de los Caballeros","No","No",168.987324045214
"159",34056,"Cervera de Pisuerga",3406,"CERVERA","Lomba del Pozo","E.L.M.","E.L.M de San Juan de Redondo, E.L.M. de Santa María de Redondo","No","No",33.269290464743
"160",34056,"Cervera de Pisuerga",3406,"CERVERA","Rebollar o las Rozas","E.L.M.","E.L.M. de Rueda de Pisuerga","No","No",177.100370433721
"161",34056,"Cervera de Pisuerga",3406,"CERVERA","La Dehesa","E.L.M.","E.L.M. de Estalaya","No","No",200.270147855395
"162",34056,"Cervera de Pisuerga",3406,"CERVERA","El Hoyal","E.L.M.","E.L.M. de Ligüérzana","No","No",270.295763693565
"163",34056,"Cervera de Pisuerga",3406,"CERVERA","Carracedo","Ayto.","Ayto. de Cervera de Pisuerga","No","No",205.649173400547
"164",34056,"Cervera de Pisuerga",3406,"CERVERA","La Mata","E.L.M.","E.L.M. de Montoto de Ojeda","No","No",2.68344901731148
"165",34056,"Cervera de Pisuerga",3406,"CERVERA","Caldelaserias","E.L.M.","E.L.M. de Resoba","No","No",459.419645853988
"166",34056,"Cervera de Pisuerga",3406,"CERVERA","Recuencos","E.L.M.","E.L.M. de Ruesga","No","No",677.552794045211
"167",34056,"Cervera de Pisuerga",3406,"CERVERA","La Loma y Ballabar","Entidad Asociativa","E.L.M. de Verdeña, E.L.M. de Estalaya","No","No",330.937103933589
"168",34056,"Cervera de Pisuerga",3406,"CERVERA","Usadía","Entidad Asociativa","E.L.M. de Resoba,E.L.M. de Santibañez de la Peña","No","No",268.162895348276
"169",34056,"Cervera de Pisuerga",3406,"CERVERA","Puerto de Loma Redonda","E.L.M.","E.L.M. de La Lastra","No","No",4.99443450837785
"170",34056,"Cervera de Pisuerga",3406,"CERVERA","Dehesa","E.L.M.","E.L.M. de San Salvador de Cantamuda","No","No",10.4569624277981
"171",34056,"Cervera de Pisuerga",3406,"CERVERA","El Cadéramo","E.L.M.","E.L.M. de Quintanaluengos","No","No",273.835192572231
"172",34056,"Cervera de Pisuerga",3406,"CERVERA","La Cotorra","E.L.M.","E.L.M. de Barrio de San Pedro","No","No",4.52491281521667
"173",34056,"Cervera de Pisuerga",3406,"CERVERA","Dehesa de Valderresoba","E.L.M.","E.L.M. de Ventanilla","Sí","Sí",274.973418799646
"174",34056,"Cervera de Pisuerga",3406,"CERVERA","Robledo","E.L.M.","E.L.M. de Perazancas de Ojeda","No","No",276.049863748629
"175",34056,"Cervera de Pisuerga",3406,"CERVERA","Paovida","E.L.M.","E.L.M. de Vado","No","No",5.63735106047613
"176",34056,"Cervera de Pisuerga",3406,"CERVERA","Brezal del Cerro","E.L.M.","E.L.M. de Ligüérzana","No","No",216.577324967805
"177",34056,"Cervera de Pisuerga",3406,"CERVERA","Tremedal","Ayto.","Ayto. de Cervera de Pisuerga","No","No",101.154680169054
"178",34056,"Cervera de Pisuerga",3406,"CERVERA","La Lera","E.L.M.","E.L.M. de Cubillo de Ojeda","No","No",271.692507092727
"179",34056,"Cervera de Pisuerga",3406,"CERVERA","Los Corros","E.L.M.","E.L.M. de Barcenilla de Pisuerga","Sí","Sí",592.163850666891
"180",34056,"Cervera de Pisuerga",3406,"CERVERA","Laguna","Ayto.","Ayto. de Polentinos","Sí","Sí",7.12269301195052
