"ID","Estadillo","lng","lat","Municipio","IDmuni","DANOS1N","DANOS2N","DANOS3N"
"133",297,-4.685608,42.681199,"Buenavista de Valdavia",34037,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"134",298,-4.673407,42.681377,"Buenavista de Valdavia",34037,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"135",299,-4.795147,42.670529,"Pino del R�o",34129,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"136",300,-4.78295,42.670719,"Pino del R�o",34129,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"137",301,-4.758554,42.671096,"Ayuela",34020,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"138",302,-4.746356,42.671283,"Tabanera de Valdavia",34179,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"139",303,-4.734158,42.671468,"Congosto de Valdavia",34062,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"140",304,-4.72196,42.671652,"Tabanera de Valdavia",34179,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"141",306,-4.685364,42.672197,"Buenavista de Valdavia",34037,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"142",308,-4.660967,42.672553,"Buenavista de Valdavia",34037,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"143",309,-4.636569,42.672905,"La Puebla de Valdavia",34140,"","","Se advierten daños de pequeña importancia por causas antropogénicas"
"144",310,-4.587772,42.673592,"La Puebla de Valdavia",34140,"","Se advierten daños de importancia moderada por causas antropogénicas","Se advierten daños de importancia moderada causados por fuego"
"145",312,-4.563373,42.673927,"Buenavista de Valdavia",34037,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"146",314,-4.469171,42.819257,"Dehesa de Montejo",34067,"","","No se advierten daños"
"147",317,-4.27313,42.803595,"Aguilar de Campoo",34004,"","","No se advierten daños"
"148",319,-4.321844,42.794038,"Aguilar de Campoo",34004,"","","No se advierten daños"
"149",320,-4.297395,42.794317,"Aguilar de Campoo",34004,"","","No se advierten daños"
"150",321,-4.517205,42.78261,"Dehesa de Montejo",34067,"","","Se advierten daños en el tronco de importancia moderada causados por fuego"
"151",323,-4.30943,42.785175,"Aguilar de Campoo",34004,"","","No se advierten daños"
"152",324,-4.297207,42.785314,"Aguilar de Campoo",34004,"","","No se advierten daños"
"153",326,-4.49233,42.764927,"Olmos de Ojeda",34114,"","","No se advierten daños"
"154",328,-4.32127,42.767029,"Aguilar de Campoo",34004,"","","No se advierten daños"
"155",329,-4.296831,42.767308,"Aguilar de Campoo",34004,"","","No se advierten daños"
