"ID","IDmuni","Especie","N_IFN2","AB_IFN2","VCC_IFN2","N_IFN3","AB_IFN3","VCC_IFN3","N_IFN4","AB_IFN4","VCC_IFN4","EspecieN"
246,34073,25,86.2394734125176,1.1956410416774,4.10258587877698,53.9632428253814,1.35939704970667,6.88675871314581,46.5536085680987,1.82812548824467,11.0693755197736,"P. nigra"
249,34073,26,35.3643957645428,0.827601002336871,3.14483841809017,6.37036232208568,0.409959584259189,2.26646456127704,3.8686712715795,0.413834202512658,2.60595417150299,"P. pinaster"
250,34073,43,25.7578884903158,0.309967868959557,1.25685620616724,43.3573195285417,0.565221254311584,2.07003072066317,80.150060376229,1.22508064119447,5.18001460665235,"Q. pyrenaica"
258,34080,21,NA,NA,NA,79.2535477271987,1.95838410622613,9.82600081681921,88.7369641647004,3.57905437866477,21.444485953152,"P. sylvestris"
260,34080,25,NA,NA,NA,7.23153778929432,0.121471721036191,0.499248674898899,4.7135897950901,0.183437284881972,1.08994427043459,"P. nigra"
264,34080,26,NA,NA,NA,2.42004315139125,0.109493602075627,0.51223221130112,0.592302154156516,0.0651633834220594,0.407238641252201,"P. pinaster"
267,34080,42,NA,NA,NA,59.9824377318927,2.50290527017834,13.8176874447953,8.54028401711983,0.415212970278842,2.40910289761079,"Q. petraea"
268,34080,43,55.3626993424047,0.711824604009546,2.85651864391677,229.278811215351,3.76843938075375,15.7735425828136,302.218692550871,5.33296457671801,23.8320108018883,"Q. pyrenaica"
269,34080,44,NA,NA,NA,NA,NA,NA,14.590648529249,0.166714522900179,0.595831235027488,"Q. faginea"
276,34083,21,NA,NA,NA,10.3393926103729,0.16695985655365,0.650237435839143,6.88990566075795,0.279328584994767,1.62403963025841,"P. sylvestris"
279,34083,25,11.3452330579019,0.135223160144894,0.401309858488276,11.7011718764082,0.232780649171482,0.936234190070285,29.8317098763521,1.13863782140249,6.72479573857397,"P. nigra"
281,34083,26,6.27463992845756,0.147719481780608,0.561973191045824,2.5754038399913,0.129019068427437,0.646527669853745,2.81931533571426,0.286711633362468,1.80210316393542,"P. pinaster"
282,34083,43,19.1365349230919,0.241187095429181,0.974058466776251,34.1334591372246,0.460640496664578,1.72390039354972,65.1458543957321,1.00428439797921,4.09980810671421,"Q. pyrenaica"
283,34083,44,NA,NA,NA,NA,NA,NA,0.249240619039465,0.00286313588326825,0.0107255026882036,"Q. faginea"
289,34089,25,NA,NA,NA,NA,NA,NA,0.852696700082398,0.0324553266270617,0.191158595968586,"P. nigra"
293,34091,21,NA,NA,NA,18.4744172615532,0.47601974563635,2.2098267620518,10.9868483963478,0.466215524900279,2.71570318068324,"P. sylvestris"
295,34091,25,84.5798432520315,1.06605082978322,3.19738413998589,111.264932125784,2.56532358404511,11.3577539836154,95.6825737704273,3.61861912900354,21.2520275813081,"P. nigra"
