"Estadillo","lng","lat","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","IDCounty","County","Municipality","IDMunicipality","ProtectedArea","ProtectionStatus","PublicForest","Ownership","BoundMarkers","LegaDemarcated"
192,-4.273869,42.839607,"A","1",NA,NA,3407,"Aguilar","Aguilar de Campoo",34004,"","","Mazuelas","E.L.M. de Matalbaniega","No","No"
195,-4.89692111,42.81307064,NA,NA,"A","1",3405,"Guardo","Guardo",34080,"","","Corcos y agregados","Ayto. de Guardo","Sí","Sí"
196,-4.884886,42.813167,"A","3E","A","1",3405,"Guardo","Guardo",34080,"","","Corcos y agregados","Ayto. de Guardo","Sí","Sí"
197,-4.884339,42.795166,"A","4","A","1",3405,"Guardo","Guardo",34080,"","","Corcos y agregados","Ayto. de Guardo","Sí","Sí"
199,-4.859357,42.777565,"A","3E","A","6C",3405,"Guardo","Guardo",34080,"","","","","",""
201,-4.871033,42.759364,"A","4",NA,NA,3405,"Guardo","Mantinos",34100,"","","Pedrosillo, Redondillo y Laguna","Ayto. de Mantinos","No","No"
202,-4.882975,42.750164,"A","1",NA,NA,3405,"Guardo","Mantinos",34100,"","","Páramo de la Mimbre","Ayto. de Mantinos","No","No"
204,-4.894913,42.740962,"A","3E","A","1",3405,"Guardo","Villalba de Guardo",34214,"","","Páramo del Otro Lado","Ayto. de Villalba de Guardo","No","No"
206,-4.870492,42.741363,"A","1",NA,NA,3405,"Guardo","Mantinos",34100,"","","Páramo de la Mimbre","Ayto. de Mantinos","No","No"
207,-4.894639,42.731961,"A","1",NA,NA,3405,"Guardo","Villalba de Guardo",34214,"","","Páramo del Otro Lado","Ayto. de Villalba de Guardo","No","No"
208,-4.88243,42.732163,"A","1",NA,NA,3405,"Guardo","Villalba de Guardo",34214,"","","Páramo del Otro Lado","Ayto. de Villalba de Guardo","No","No"
209,-4.882158,42.723162,"A","1",NA,NA,3405,"Guardo","Villalba de Guardo",34214,"","","Páramo del Otro Lado","Ayto. de Villalba de Guardo","No","No"
210,-4.881886,42.714161,"A","1",NA,NA,3405,"Guardo","Villalba de Guardo",34214,"","","Páramo del Otro Lado","Ayto. de Villalba de Guardo","No","No"
214,-4.86914,42.69636,"A","1",NA,NA,3405,"Guardo","Fresno del Río",34073,"","","El Soto","Ayto. de Fresno del Río","Sí","Sí"
216,-4.88107,42.68716,"A","1",NA,NA,3405,"Guardo","Fresno del Río",34073,"","","El Soto","Ayto. de Fresno del Río","Sí","Sí"
218,-4.856669,42.687558,"A","1",NA,NA,3405,"Guardo","Fresno del Río",34073,"","","El Soto","Ayto. de Fresno del Río","Sí","Sí"
