"ID","IDmuni","Calidad","VCC_m3_ha_IFN2","VCC_total_IFN2","Porc_VCC_IFN2","VCC_m3_ha_IFN3","VCC_total_IFN3","Porc_VCC_IFN3","VCC_m3_ha_IFN4","VCC_total_IFN4","Porc_VCC_IFN4"
"52",34068,2,105.916791495798,125.74061815545,84.234349289468,59.4061691069937,77.190768457525,76.9601991197725,56.5275106822948,64.1118441338818,88.1701524046806
"53",34068,3,19.8238266596519,125.74061815545,15.765650710532,17.7845993505312,77.190768457525,23.0398008802275,7.58433345158691,64.1118441338818,11.8298475953194
"54",34071,2,121.602169074662,149.688630213783,81.2367438335103,81.8219207614147,85.7025589563487,95.471969282842,66.6422783055791,76.3444626821784,87.2915676713982
"55",34071,3,28.0864611391217,149.688630213783,18.7632561664897,3.88063819493395,85.7025589563487,4.52803071715804,9.70218437659933,76.3444626821784,12.7084323286018
"56",34073,2,85.1501550073848,95.9321061512467,88.7608522564249,138.340822293904,145.99250853936,94.7588500793571,64.5711914035037,168.223706668972,38.3841211694175
"57",34073,3,7.06714299180419,95.9321061512467,7.36681729958281,6.3007663560958,145.99250853936,4.31581484497686,84.3928358105935,168.223706668972,50.1670290600958
"58",34073,4,3.71480815205772,95.9321061512467,3.87233044399228,1.35091988935945,145.99250853936,0.925335075666055,11.6525971166777,168.223706668972,6.92684601202345
"59",34073,5,NA,NA,NA,NA,NA,NA,7.60708233819698,168.223706668972,4.52200375846318
"60",34080,2,4.10760583055402,33.9033013030525,12.1156514931606,95.5651570754561,128.458620061049,74.3937285252165,80.8988302871045,98.0175253795269,82.5350670442472
"61",34080,3,18.7888555722054,33.9033013030525,55.4189558245576,27.4307671837072,128.458620061049,21.3537769366283,15.6946105880187,98.0175253795269,16.0120453227611
"62",34080,4,11.0068399002932,33.9033013030525,32.4653926822818,1.87477042679927,128.458620061049,1.45943528422484,1.42408450440361,98.0175253795269,1.45288763299166
"63",34080,5,NA,NA,NA,3.58792537508645,128.458620061049,2.79305925393042,NA,NA,NA
"64",34083,2,167.338528900606,171.61117299075,97.5102762741595,22.9239244809312,46.9055251376413,48.8725462803421,89.1805950230096,98.8384851794816,90.2286137439944
"65",34083,3,4.27264409014392,171.61117299075,2.48972372584053,23.9816006567101,46.9055251376413,51.1274537196579,9.65789015647196,98.8384851794816,9.77138625600556
"66",34091,2,8.30457348001126,12.7263721565215,65.254837575653,47.8506242079818,58.0463022458782,82.4352669448114,43.9583485799988,109.845491726218,40.0183456682608
"67",34091,3,4.42179867651028,12.7263721565215,34.745162424347,10.1956780378964,58.0463022458782,17.5647330551886,52.7839554534924,109.845491726218,48.0529101595289
"68",34091,4,NA,NA,NA,NA,NA,NA,13.103187692727,109.845491726218,11.9287441722103
"69",34093,2,105.343982100096,105.343982100096,100,68.107857961066,68.107857961066,100,3.99608033797527,9.54996372185419,41.8439321275182
"70",34093,3,NA,NA,NA,NA,NA,NA,3.6013941411495,9.54996372185419,37.7110766704595
"71",34093,5,NA,NA,NA,NA,NA,NA,1.95248924272942,9.54996372185419,20.4449912020224
"72",34094,2,22.9064856142172,24.332040743041,94.1412430470655,78.8712273671315,80.805558348284,97.6061906870128,57.7590338151406,143.52494782146,40.2432014028606
"73",34094,3,1.42555512882377,24.332040743041,5.85875695293449,1.93433098115255,80.805558348284,2.39380931298723,72.6951643832095,143.52494782146,50.6498455401913
"74",34094,4,NA,NA,NA,NA,NA,NA,7.83224850109815,143.52494782146,5.45706416897027
"75",34094,5,NA,NA,NA,NA,NA,NA,5.23850112201152,143.52494782146,3.64988888797789
"76",34100,2,133.785488301279,139.025168802566,96.2311281141275,119.599607571396,145.514997764142,82.1905710126518,179.910747139741,202.051067785097,89.0422154715338
"77",34100,3,3.91963702739415,139.025168802566,2.81937224831609,10.5378735442618,145.514997764142,7.24177830888754,16.685933076968,202.051067785097,8.25827512810537
"78",34100,4,1.32004347389255,139.025168802566,0.949499637556413,12.5768565045668,145.514997764142,8.64299673422804,5.45438756838817,202.051067785097,2.69950940036085
"79",34100,5,NA,NA,NA,2.80066014391762,145.514997764142,1.92465394423266,NA,NA,NA
"80",34107,2,164.459730395969,168.360961300617,97.6828173975069,58.4378019848079,65.9606423419097,88.594955885804,10.164598221585,14.9137191661801,68.1560253906033
"81",34107,3,3.90123090464812,168.360961300617,2.31718260249315,7.52284035710185,65.9606423419097,11.405044114196,4.74912094459513,14.9137191661801,31.8439746093967
"82",34110,2,NA,NA,NA,52.8135543781765,61.9335474812271,85.2745507500358,6.79715115678201,74.9055772992243,9.07429246507176
"83",34110,3,NA,NA,NA,6.44082653752456,61.9335474812271,10.3995763192426,59.5888435322904,74.9055772992243,79.5519448361658
"84",34110,4,NA,NA,NA,1.62361915195197,61.9335474812271,2.62155038421481,8.51958261015188,74.9055772992243,11.3737626987625
"85",34110,5,NA,NA,NA,1.05554741357407,61.9335474812271,1.70432254650683,NA,NA,NA
"86",34114,2,31.253860688578,38.9831509179314,80.1727411782969,55.0218539993064,67.1010153718885,81.998541593392,135.327253133085,155.587259662015,86.9783640556812
"87",34114,3,7.7292902293534,38.9831509179314,19.8272588217031,7.5805896103102,67.1010153718885,11.2972800311544,14.2248809952791,155.587259662015,9.14270296049953
"88",34114,4,NA,NA,NA,NA,NA,NA,6.03512553365048,155.587259662015,3.8789329838193
"89",34114,5,NA,NA,NA,4.49857176227193,67.1010153718885,6.70417837545358,NA,NA,NA
