"Estadillo","CoorX","CoorY","IdDamageNFI3","DamageNFI3","TreesDamNFI3","TotalTreesNFI3","PercentageDamageNFI3"
539,375907,4713789,316,"Competition",4,30,13.33
542,380917,4713787,100,"No damage observed",21,24,87.5
542,380917,4713787,316,"Competition",3,24,12.5
549,383915,4712820,100,"No damage observed",35,40,87.5
549,383915,4712820,200,"Unknown causes",5,40,12.5
553,376886,4710778,100,"No damage observed",24,26,92.31
553,376886,4710778,200,"Unknown causes",2,26,7.69
555,376889,4709803,100,"No damage observed",3,3,100
557,375873,4708781,100,"No damage observed",31,31,100
576,345836,4697773,100,"No damage observed",35,35,100
578,346837,4696847,100,"No damage observed",14,14,100
581,347913,4706774,100,"No damage observed",38,38,100
599,347828,4694857,100,"No damage observed",30,30,100
602,347874,4692812,100,"No damage observed",24,24,100
623,383887,4701819,100,"No damage observed",10,10,100
627,383918,4700770,100,"No damage observed",22,23,95.65
627,383918,4700770,200,"Unknown causes",1,23,4.35
