"ID","IDmuni","Area_ha","Alimentos","Madera","Leña","Pastos","Agua","Recreativo","Caza","SedimentaEvitaEmbalses","CarbonoSupForestal","CarbonoArbolado","CarbonoMatorral","DiversidadBiologica"
"28",34100,1447.98829132301,44929.6111330453,40791.7106119447,1422.85188309827,2715.04863800223,910169.034507988,2412.34574610995,5224.51531919487,19382.9169699741,198333.141870419,194420.389274045,3903.07865625717,39383.0833785484
"29",34107,665.896162070951,14949.1583669606,12319.6512081996,1208.2282036689,1421.27895509208,345937.242260966,827.415849843456,2413.31084849456,8118.43982819869,67901.5140343265,66015.5096940283,1884.85892589987,18663.1628553701
"30",34109,41.5492516154003,1996.57608464528,1864.71746015302,6.27064310208228,125.569608414562,9261.64886450733,4.07253078072731,149.714131430629,270.70211008961,6775.86085212205,6704.20433040087,71.6748946967957,881.2331869629
"31",34110,153.467520606953,1084.78430430877,242.464230006354,445.186830728767,397.133243573651,90441.6639760625,237.398028832265,558.410165589799,2271.03616683963,9125.03265440946,8580.90916612436,544.081166401206,5291.93505397928
"32",34113,138.246485723763,1635.61014356575,946.807534535443,358.320305230343,330.482303799965,76030.3644378043,190.629830585046,502.572186463022,1880.8706098675,9834.12845937729,9380.99307816649,453.106356760374,4407.30316135683
"33",34114,2849.9643784988,79343.0040603961,68793.9941389065,3239.89433099237,7307.18742693736,1329939.91688965,3370.19357982268,10313.3931439499,33531.0450695305,337207.363179486,329929.068113397,7273.64494793174,78493.8915009931
"34",34122,365.346877516303,17901.7482023515,16774.4866029526,52.3063938779171,1074.95520552096,94871.99600706,84.5632136905141,1315.28526621082,2588.14624724938,61528.750498156,60886.5109938577,641.980799197951,7943.98600739452
"35",34124,661.598648835757,19485.7921905563,16962.7882002886,880.491619004842,1642.50965765372,308248.722890978,691.134994128712,2393.01356655371,7457.59177383322,80034.9107983771,78310.8484892801,1722.76079797454,18008.6158118979
"36",34126,19.6406366670863,523.39367948121,457.466094083438,28.7802026677268,37.1473827300448,10889.3530731394,26.865596622163,71.0378642545921,241.821191433255,2306.18575954788,2252.91179680687,53.2053138626608,527.104547932288
"37",34129,2374.70215104482,88265.7892362753,82750.0500889139,1551.61845453137,3964.12069283011,1209399.26089185,2802.02713025614,8569.05138214347,25336.7631548276,348851.581344378,343542.257087613,5297.90260320899,53758.8055491149
"38",34131,99.2154992024345,2581.5446927569,2191.44851941943,38.8415407500817,351.182007635093,19318.1902464513,15.1486539661184,360.365146873242,846.423548626545,9094.4557782735,8906.69356482931,187.834838396482,2402.3861653628
"39",34135,2336.942380477,46628.626813754,36218.021525866,4109.44417386212,6299.78916883488,1088706.52703776,2529.41733708283,8487.5410798915,27964.7102997349,214110.066772817,207369.981510269,6738.91804821464,67927.5745309315
"40",34136,441.97816032696,7884.10851791308,5898.99537128274,928.153235112413,1056.95830607729,255039.184847759,656.183053550363,1602.38186395166,6088.9846450992,40796.4955718033,39405.0381543339,1390.44766834307,13829.5563551997
"41",34139,461.217553086165,22915.7826395587,21535.8415591892,56.6142990227269,1323.32678134676,104881.71887169,46.1378678731169,1661.19839341331,2941.9713351589,77465.3743476865,76702.0006319947,763.373715691799,9496.39693328032
"42",34140,1384.01645153937,22398.9110324272,15882.250714251,3162.76589525281,3353.88591757394,730324.973065828,1785.72576267789,5024.98637640595,18010.2829731606,115360.842497849,111053.080578807,4306.94234150279,42568.4546472244
"43",34143,377.827644850019,6343.36631553715,4464.84834619235,853.096114368843,1025.42185497595,191016.958371934,459.385293668205,1371.64910045239,4884.55584376543,31835.6833827226,30654.8062022907,1180.78889965648,11917.345746648
"44",34151,2757.2807756194,55430.2734694324,43992.7865651901,5334.07319522616,6103.41370901616,1582146.92134369,4032.77398330005,9990.48780417834,36915.2996426618,272533.391706185,264183.135668116,8342.94122820428,82626.6915562234
"45",34154,998.807193227241,12258.6142854578,7302.38252974866,2448.07617646761,2508.15557924157,523311.7935576,1291.46845300135,3635.82677571272,13216.2819619649,70754.6081566623,67547.2024985205,3207.27290720798,31270.7876434841
"46",34157,3541.42289500701,78121.2458067809,63273.8192380321,6468.65826686405,8378.76830188469,1709536.7248069,3939.19941378429,12848.1155444478,41840.7098372435,348695.009362106,338713.406873716,9978.34785779053,99926.072823618
"47",34158,657.132224232512,6133.17799681539,2619.89461496664,1689.96967949992,1823.11375003548,347290.324999659,875.56598213403,2394.17731449589,9030.54946614199,41175.430649364,38965.989207862,2209.59525011959,21601.4141174953
