"ID","IDmuni","SP1","Area_ha50","Area_ha25","Especie"
"238",34231,26,114.83075311345,120.370293300583,"P. pinaster"
"239",34231,43,324.8807607385,296.954613866713,"Q. pyrenaica"
"243",34234,21,78.8638635061623,41.62025609111,"P. sylvestris"
"244",34234,25,762.115355631842,799.597509863893,"P. nigra"
"245",34234,26,249.323901133316,249.355304472702,"P. pinaster"
"246",34234,43,352.743026307733,349.204001544358,"Q. pyrenaica"
"247",34245,21,887.783297388685,1196.23051897006,"P. sylvestris"
"248",34245,25,1915.51441642541,1392.53282912476,"P. nigra"
"249",34245,26,47.9034244771291,52.3327703855604,"P. pinaster"
"250",34245,43,1037.09928376414,1313.00151540769,"Q. pyrenaica"
"253",34901,25,265.058122964135,263.823215434481,"P. nigra"
"255",34901,43,19.6085884279971,30.2947393018414,"Q. pyrenaica"
"256",34903,25,850.090254283642,1017.73616937787,"P. nigra"
"257",34903,43,192.725567914428,194.17384352837,"Q. pyrenaica"
