"ID","Estadillo","CoorX","CoorY","Agente","AgenteN","Pies_con_este_dano","Total_pies","Porcentaje_dano"
"340",576,345836,4697773,316,"Dominancia",1,30,3.33
"341",578,346837,4696847,100,"No se advierten daños",2,19,10.53
"342",578,346837,4696847,200,"Causas desconocidas",1,19,5.26
"343",578,346837,4696847,311,"Insectos",16,19,84.21
"344",581,347913,4706774,100,"No se advierten daños",5,38,13.16
"345",581,347913,4706774,200,"Causas desconocidas",4,38,10.53
"346",581,347913,4706774,311,"Insectos",28,38,73.68
"347",581,347913,4706774,316,"Dominancia",1,38,2.63
"348",599,347828,4694857,100,"No se advierten daños",29,35,82.86
"349",599,347828,4694857,200,"Causas desconocidas",1,35,2.86
"350",599,347828,4694857,311,"Insectos",4,35,11.43
"351",599,347828,4694857,316,"Dominancia",1,35,2.86
"352",602,347874,4692812,100,"No se advierten daños",4,27,14.81
"353",602,347874,4692812,200,"Causas desconocidas",3,27,11.11
"354",602,347874,4692812,311,"Insectos",20,27,74.07
"355",623,383887,4701819,100,"No se advierten daños",7,7,100
"356",627,383918,4700770,100,"No se advierten daños",14,16,87.5
"357",627,383918,4700770,200,"Causas desconocidas",2,16,12.5
