"Estadillo","lng","lat","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","Altitude_m","FuelModel","Aspect","Slope","Exposure","Stoniness","Texture","BioRigion","OrganicMatter","SoilpH","SoilType"
261,-4.577167,42.736774,"A","4C","A","1",1071,5,125,11,"Sunny slope","Slightly stony","Loam texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
262,-4.564956,42.736942,"A","4C","A","1",1104,7,250,6,"All exposures","Slightly stony","Loam texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
263,-4.78452548,42.72484493,NA,NA,"A","1",1141,5,335,2,"All exposures","Slightly stony","Loam texture","Mediterranean","Low humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
264,-4.772288,42.724915,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,-4.576939,42.727772,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,-4.759825,42.716103,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,-4.576711,42.71877,"A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,-4.564503,42.718938,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,-4.832798,42.705953,"A","3E","A","1",1049,6,295,19,"Shady slope","Slightly stony","Sandy texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
272,-4.771775,42.706913,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,-4.747365,42.707288,"A","3E","A","1",1110,7,255,24,"Shady slope","Slightly stony","Loam texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
276,-4.613103,42.709258,"A","4C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,-4.759316,42.6981,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,-4.74686,42.689286,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,-4.734659,42.689471,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,-4.722457,42.689655,"A","4","A","1",1094,8,325,2,"All exposures","Slightly stony","Loam texture","Mediterranean","Low humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
288,-4.661447,42.690557,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,-4.637042,42.690908,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,-4.53947652,42.69218251,NA,NA,"A","1",1047,6,295,15,"Shady slope","No stoniness","Loam texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
292,-4.758808,42.680098,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,-4.734408,42.68047,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,-4.710008,42.680837,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,-4.795147,42.670529,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,-4.78295,42.670719,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,-4.746356,42.671283,"A","3E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,-4.72196,42.671652,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,-4.70984871,42.67186295,NA,NA,"A","1",1049,6,225,29,"Sunny slope","Slightly stony","Loam texture","Mediterranean","Low humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
306,-4.685364,42.672197,"A","3E","A","1",1064,5,250,22,"Shady slope","Slightly stony","Loam texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
311,-4.575573,42.67376,"A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,-4.518085,42.818619,"A","4C","A","1",1136,5,206,10,"All exposures","No stoniness","Loam texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
319,-4.321844,42.794038,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,-4.297395,42.794317,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,-4.517205,42.78261,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,-4.516765,42.764606,"A","4C","A","1",1146,5,9,17,"Shady slope","Slightly stony","Loam texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
326,-4.49233,42.764927,"A","3E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,-4.467894,42.765243,"A","1","A","1",1048,4,241,24,"Sunny slope","Slightly stony","Clay texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Limestone soil"
330,-4.50433,42.755765,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,-4.479897,42.756083,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,-4.382164,42.757305,"A","4C","A","1",1014,2,62,30,"Sunny slope","Very stony","Loam texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
335,-4.516326,42.746601,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,-4.491898,42.746922,"A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,-4.381964,42.748302,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,-4.247591,42.749845,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,-4.406191,42.739002,"A","4C","A","1",976,6,285,9,"All exposures","Stony","Clay texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Limestone soil"
343,-4.393978,42.739151,"A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,-4.296268,42.740299,"A","4","A","1",913,5,183,8,"All exposures","No stoniness","Sandy texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
346,-4.210767,42.741235,"A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,-4.405581,42.711994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,-4.259079,42.713698,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,-4.405378,42.702991,"A","4C","A","1",959,7,285,22,"Sunny slope","Slightly stony","Sandy texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
356,-4.28330905,42.704489,NA,NA,"A","4",881,4,192,41,"Shady slope","No stoniness","Sandy texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
357,-4.271104,42.70456,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,-4.246689,42.704828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,-4.319741,42.695004,"A","1","A","4",989,11,1,26,"Shady slope","Slightly stony","Loam texture","Mediterranean","Moderately humic","Neutral (pH = 7)","Limestone soil"
361,-4.50259,42.683746,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,-4.35616,42.685574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,-4.331754,42.68586,"A","4","A","1",965,11,270,2,"All exposures","Stony","Clay texture","Mediterranean","Moderately humic","Neutral (pH = 7)","Limestone soil"
366,-4.295144,42.68628,"A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,-4.294957,42.677277,"A","4","A","1",895,4,140,52,"Sunny slope","Slightly stony","Loam texture","Mediterranean","Moderately humic","Neutral (pH = 7)","Limestone soil"
381,-4.892451,42.659957,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,-4.892178,42.650956,"A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,-4.891905,42.641955,"A","1","A","4",1075,11,240,3,"All exposures","Slightly stony","Loam texture","Mediterranean","Low humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
387,-4.867522,42.642356,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,-4.891632,42.632955,"A","1","A","4",1068,11,160,3,"All exposures","Slightly stony","Sandy texture","Mediterranean","Low humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
389,-4.879442,42.633156,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,-4.855063,42.633553,NA,NA,"A","1",1053,11,385,2,"All exposures","Slightly stony","Loam texture","Mediterranean","Low humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
392,-4.89115871,42.6236709,NA,NA,"A","1",1059,11,0,6,"All exposures","Slightly stony","Sandy texture","Mediterranean","Low humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
393,-4.879171,42.624155,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,-4.866984,42.624354,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,-4.891087,42.614953,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
397,-4.866715,42.615353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,-4.890814,42.605953,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,-4.87863,42.606153,"A","4","A","1",1035,6,235,2,"All exposures","Slightly stony","Loam texture","Mediterranean","Low humic","Moderately acidic (5 < pH < 6)","Limestone soil"
401,-4.854261,42.60655,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,-4.889998,42.578951,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,-4.876739,42.543148,"A","4","A","1",998,5,100,4,"All exposures","Slightly stony","Loam texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
410,-4.864567,42.543346,"A","4","A","1",994,9,100,3,"All exposures","Slightly stony","Loam texture","Mediterranean","Low humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
413,-4.888369,42.524946,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,-4.864031,42.525344,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,-4.888098,42.515945,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,-4.863496,42.507342,"A","4","A","1",977,9,200,2,"All exposures","Slightly stony","Loam texture","Mediterranean","Low humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
419,-4.672924,42.663374,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,-4.660727,42.663552,"A","3E","A","1",975,2,240,18,"Shady slope","Slightly stony","Sandy texture","Mediterranean","Low humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
422,-4.587543,42.66459,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
