"ID","Estadillo","CoorX","CoorY","IDComarca","Comarca","Municipio","IDMuni","EspacioProtegido","FiguraProteccion","MUP","tipo_prop","pertenenci","deslindado","amojonado"
"81",418,356864,4724825,3403,"Saldaña-Valdavia","Tabanera de Valdavia",34179,"No","No","Trasotero y Rabanillo","Ayto.","Ayto. de Tabanera de Valdavia","No","No"
"82",424,371876,4724791,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"No","No","Mayor","Ayto.","Ayto. de Buenavista de Valdavia","Sí","Sí"
"83",431,370880,4723808,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"No","No","Mayor","Ayto.","Ayto. de Buenavista de Valdavia","Sí","Sí"
"84",436,355869,4722843,3403,"Saldaña-Valdavia","Pino del Río",34129,"No","No","Vallejas Traidoras (Quiñon de Valcabadillo)","E.L.M.","E.L.M. de Valcabadillo","No","No"
"85",439,364896,4722817,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"No","No","Rodiles","Ayto.","Ayto. de Buenavista de Valdavia","No","No"
"86",452,360862,4720787,3403,"Saldaña-Valdavia","Ayuela",34020,"No","No","Bascarrión","Entidad Asociativa","Ayto. de Tabanera de Valdavia,Ayto. de Ayuela,E.L.M. de Villasur","No","No"
"87",453,366901,4720793,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"No","No","Rodiles","Ayto.","Ayto. de Buenavista de Valdavia","No","No"
"88",454,370877,4720814,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"No","No","El Cerrillo","E.L.M.","E.L.M. de Polvorosa de Valdavia","Sí","Sí"
"89",458,362936,4719770,3403,"Saldaña-Valdavia","Valderrábano",34190,"No","No","No","No","No","No","No"
"90",461,371894,4719803,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"No","No","Alto y Agregados","Ayto.","Ayto. de Buenavista de Valdavia","Sí","Sí"
"91",465,353868,4718832,3403,"Saldaña-Valdavia","Pino del Río",34129,"No","No","Majada y Valle de las Fuentes","E.L.M.","E.L.M. de Celadilla del Rio","Sí","Sí"
"92",47,368892,4754814,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Palacios","Ayto.","Ayto. de Cervera de Pisuerga","No","No"
"93",472,354883,4717798,3403,"Saldaña-Valdavia","Pino del Río",34129,"No","No","Valdepoza","Ayto.","Ayto. de Saldaña","Sí","Sí"
"94",475,354882,4716797,3403,"Saldaña-Valdavia","Pino del Río",34129,"No","No","Valdepoza","Ayto.","Ayto. de Saldaña","Sí","Sí"
"95",478,370892,4716793,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"No","No","Montecillo, Páramo y Cuesta","E.L.M.","E.L.M. de Arenillas de San Pelayo","Sí","Sí"
"96",479,371880,4716791,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"No","No","Montecillo, Páramo y Cuesta","E.L.M.","E.L.M. de Arenillas de San Pelayo","Sí","Sí"
"97",486,371893,4714777,3403,"Saldaña-Valdavia","Villaeles de Valdavia",34208,"No","No","Bostal y Albarizas","Ayto.","Ayto. de Villaeles de Valdavia","Sí","Sí"
"98",49,369907,4753795,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Palacios","Ayto.","Ayto. de Cervera de Pisuerga","No","No"
"99",490,361938,4713829,3403,"Saldaña-Valdavia","Saldaña",34157,"No","No","No","No","No","No","No"
