"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","SpeciesID","SpeciesName","CanopySHRNFI2","HmSHRNFI2","CanopySHRNFI3","HmSHRNFI3","CanopySHRNFI4","HmSHRNFI4"
52,42.904935,-4.777437,"A","1","A","1",119,"Rosa spp.",10,20,2,6,NA,NA
52,42.904935,-4.777437,"A","1","A","1",144,"Lonicera spp.",NA,NA,NA,NA,2,3
52,42.904935,-4.777437,"A","1","A","1",2110,"Daphne laureola",NA,NA,5,6,8,4
52,42.904935,-4.777437,"A","1","A","1",4104,"Cytisus spp.",NA,NA,8,12,NA,NA
53,42.905124,-4.765193,"A","1",NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",10,16,NA,NA,NA,NA
53,42.905124,-4.765193,"A","1",NA,NA,104,"Other papilionoid shrubs (Ht<1.5m)",10,5,NA,NA,NA,NA
53,42.905124,-4.765193,"A","1",NA,NA,119,"Rosa spp.",10,15,10,10,NA,NA
53,42.905124,-4.765193,"A","1",NA,NA,4104,"Cytisus spp.",NA,NA,10,15,NA,NA
57,42.907978,-4.569276,"A","4C",NA,NA,102,"Erica spp.",20,15,NA,NA,NA,NA
57,42.907978,-4.569276,"A","4C",NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",20,15,NA,NA,NA,NA
57,42.907978,-4.569276,"A","4C",NA,NA,106,"Calluna vulgaris",NA,NA,8,4,NA,NA
57,42.907978,-4.569276,"A","4C",NA,NA,119,"Rosa spp.",10,15,15,18,NA,NA
57,42.907978,-4.569276,"A","4C",NA,NA,120,"Daboecia cantabrica",NA,NA,5,4,NA,NA
57,42.907978,-4.569276,"A","4C",NA,NA,121,"Rubus spp.",NA,NA,3,4,NA,NA
57,42.907978,-4.569276,"A","4C",NA,NA,1102,"Erica arborea",NA,NA,25,10,NA,NA
57,42.907978,-4.569276,"A","4C",NA,NA,4104,"Cytisus spp.",NA,NA,15,15,NA,NA
58,42.896684,-4.72821,"A","1",NA,NA,104,"Other papilionoid shrubs (Ht<1.5m)",5,3,NA,NA,NA,NA
58,42.896684,-4.72821,"A","1",NA,NA,107,"Arctostaphylos uva-ursi",60,2,10,2,NA,NA
59,42.896868,-4.715967,"A","3E",NA,NA,102,"Erica spp.",60,10,NA,NA,NA,NA
59,42.896868,-4.715967,"A","3E",NA,NA,104,"Other papilionoid shrubs (Ht<1.5m)",5,3,NA,NA,NA,NA
59,42.896868,-4.715967,"A","3E",NA,NA,107,"Arctostaphylos uva-ursi",5,2,NA,NA,NA,NA
59,42.896868,-4.715967,"A","3E",NA,NA,117,"Halimium spp.",10,3,NA,NA,NA,NA
59,42.896868,-4.715967,"A","3E",NA,NA,136,"Chamaespartium tridentatum",NA,NA,5,3,NA,NA
59,42.896868,-4.715967,"A","3E",NA,NA,137,"Vaccinium myrtillus",NA,NA,10,2,NA,NA
59,42.896868,-4.715967,"A","3E",NA,NA,1102,"Erica arborea",NA,NA,85,15,NA,NA
60,42.89766952,-4.64260042,"A","1","A","1",102,"Erica spp.",20,15,NA,NA,NA,NA
60,42.89766952,-4.64260042,"A","1","A","1",119,"Rosa spp.",10,15,10,12,8,15
60,42.89766952,-4.64260042,"A","1","A","1",141,"Hedera helix",NA,NA,NA,NA,2,1
60,42.89766952,-4.64260042,"A","1","A","1",179,"Teucrium fruticans",NA,NA,NA,NA,4,1
60,42.89766952,-4.64260042,"A","1","A","1",1139,"Juniperus sabina",NA,NA,NA,NA,12,2
60,42.89766952,-4.64260042,"A","1","A","1",2110,"Daphne laureola",NA,NA,5,5,16,4
60,42.89766952,-4.64260042,"A","1","A","1",4104,"Cytisus spp.",NA,NA,25,10,6,5
60,42.89766952,-4.64260042,"A","1","A","1",5104,"Coronilla spp.",NA,NA,NA,NA,1,1
62,42.887497,-4.740199,"A","4","A","1",102,"Erica spp.",80,12,NA,NA,NA,NA
