"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","YearNFI2","YearNFI3","YearNFI4","CanopyNFI2","CanopyNFI3","CanopyNFI4","NtreesNFI2","NtreesNFI3","NtreesNFI4","DeadTreesNFI2","DeadTreesNFI3","DeadTreesNFI4","HoNFI2","HoNFI3","HoNFI4","HartNFI2","HartNFI3","HartNFI4","ShannonNFI2","ShannonNFI3","ShannonNFI4","SDIR_NFI2","SDIR_NFI3","SDIR_NFI4","especie_dominanteIFN2","CompositionNFI2","especie_dominanteIFN3","CompositionNFI3","especie_dominanteIFN4","CompositionNFI4","nCD.x","StructureNFI2","nCD.y","StructureNFI3","nCD","StructureNFI4","DmNFI2","HmNFI2","SlendernessNFI2","DgNFI2","DmNFI3","HmNFI3","SlendernessNFI3","DgNFI3","DmNFI4","HmNFI4","SlendernessNFI4","DgNFI4"
103,42.863136,-4.555899,"A","3E","A","1",91,"2006-09-03 00:00","2019-08-12T22:00:00Z",80,95,95,16,59,43,0,5,3,10.9902974236829,17.1055900621118,20.4827720959014,33.2460949524734,16.5361783271126,14.9219654538733,0.0885976140128571,0.908239002736304,0.947613829221585,0.427841858760306,1.97841757099649,2.23389257632013,71,"mixed",42,"mixed",42,"mixed",5,"Uneven-aged",11,"Uneven-aged",12,"Uneven-aged",0.17290625,9.5625,55.3045364178565,0.188386363293631,0.23971186440678,11.6440677966102,48.5752669164958,0.2749996456084,0.2985,15.9534883388253,53.4455220731166,0.337581161645129
104,42.863302,-4.543662,"A","4","A","1",91,"2006-09-03 00:00","2019-08-12T22:00:00Z",80,90,90,21,31,39,0,0,3,7.72676045526484,11.3841941282883,14.264507432127,31.4558333368564,20.2364988099004,16.7633368246572,0.43615649819356,0.108621158173656,0.1418842982036,0.475693831762196,0.765582169849515,0.848556313058304,71,"mixed",71,"pure",71,"mixed",3,"Uneven-aged",4,"Uneven-aged",5,"Uneven-aged",0.116095238095238,7.38095238095238,63.5767022149303,0.119790889231432,0.135177419354839,9.83870967741935,72.7836773654695,0.138604828152185,0.148615384615385,11.7692308548169,79.1925471597412,0.155140011205759
105,42.849767,-4.849284,"A","1",NA,NA,91,"2004-02-03 00:00",NA,20,75,NA,1,12,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.223669278117673,NA,NA,NA,21,"pure",NA,NA,1,"Even-aged",2,"Even-aged",1,"Even-aged",NA,NA,NA,NA,0.124875,5.375,43.043043043043,0.128628745491304,NA,NA,NA,NA
106,42.849964,-4.837051,"A","1",NA,NA,91,"2004-02-03 00:00",NA,45,50,NA,3,11,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.67573235787403,0,0.0450970674390178,0.150740576110181,NA,21,"pure",21,"mixed",NA,NA,2,"Even-aged",6,"Uneven-aged",1,"Even-aged",0.2245,10,44.543429844098,0.231157413897976,0.291909090909091,12.3181818181818,42.1986919962628,0.309470515558429,NA,NA,NA,NA
107,42.851306,-4.751421,"A","1",NA,NA,91,"04/25/03 00:00:00",NA,70,80,NA,16,51,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.33733123948731,0.867976552466775,NA,21,"pure",21,"pure",NA,NA,2,"Even-aged",4,"Uneven-aged",1,"Even-aged",0.1328125,5,37.6470588235294,0.133744275578434,0.197735294117647,9.90196078431373,50.0768506123258,0.202066056467856,NA,NA,NA,NA
108,42.852406,-4.678019,"A","1","A","1",91,"04/29/03 00:00:00","2019-07-15T22:00:00Z",50,60,70,6,27,43,0,0,0,4,8.08356812467028,13.4804381298624,93.6417586951441,40.1986293503911,27.4078324724295,0,0,0,0.160906549432643,0.605373783037691,0.867211150183182,25,"pure",25,"pure",25,"pure",1,"Even-aged",4,"Uneven-aged",5,"Uneven-aged",0.0926666666666667,4.41666666666667,47.6618705035971,0.0928439551074813,0.174740740740741,7.35185185185185,42.0729122509538,0.177576587545894,0.25646511627907,12.3069766621257,47.9869420086512,0.260695380464152
112,42.834223,-4.689762,"A","1",NA,NA,91,"2004-11-03 00:00",NA,60,60,NA,4,10,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.169562873959133,0.536744700434154,NA,43,"pure",43,"pure",NA,NA,2,"Even-aged",3,"Uneven-aged",1,"Even-aged",0.1765,6.875,38.9518413597734,0.194135584064334,0.16175,8.1,50.0772797527048,0.178774229127131,NA,NA,NA,NA
128,42.94497,-4.496672,"A","4","A","1",91,"2004-10-03 00:00","2019-08-29T22:00:00Z",90,95,95,33,40,44,0,0,1,14.1717871395794,20.2756622075227,21.6125269566997,28.2230300571104,20.2503995360953,19.8848268717294,0,0.205853222536056,0.885705167616516,1.29866032356907,1.62449088462812,1.879414582438,42,"pure",42,"pure",42,"mixed",5,"Uneven-aged",8,"Uneven-aged",8,"Uneven-aged",0.238121212121212,13.6969696969697,57.5209977093408,0.244253904159114,0.2864625,17.975,62.748178208317,0.29796059932481,0.322704545454545,19.6045455715873,60.7507574582605,0.336005817049213
129,42.94513,-4.484419,"A","1",NA,NA,91,"05/22/03 00:00:00",NA,80,85,NA,34,38,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.39685779139162,2.92620210776417,NA,43,"pure",43,"pure",NA,NA,6,"Uneven-aged",7,"Uneven-aged",1,"Even-aged",0.172279411764706,7.17647058823529,41.6559965855741,0.190297194038229,0.184934210526316,8,43.2586268231946,0.202366476446752,NA,NA,NA,NA
144,42.918438,-4.459274,"A","1",NA,NA,91,"2004-11-03 00:00",NA,90,85,NA,31,34,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,5.2686156309357,4.60234307149197,NA,42,"pure",42,"pure",NA,NA,10,"Uneven-aged",10,"Uneven-aged",1,"Even-aged",0.395677419354839,10.0322580645161,25.3546388390673,0.508421117045766,0.39125,12.3235294117647,31.4978387521143,0.499482445372502,NA,NA,NA,NA
