"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","SpeciesID","SpeciesName","NtreesNFI2","NtreesNFI3","NtreesNFI4","AgeNFI3","AgeNFI4","SPdevelopmentNFI2","SPdevelopmentNFI2name","SPdevelopmentNFI3","SPdevelopmentNFI3name","SPdevelopmentNFI4","SPdevelopmentNFI4name","Origin1NFI3","Origin1NFI3_EN","Origin2NFI3","Origin2NFI3_EN","Origin1NFI4","Origin1NFI4_EN","Origin2NFI4","Origin2NFI4_EN","SPcoverNFI2","SPcoverNFI3","SPcoverNFI4","RegenerNFI2","RegenerNFI2_EN","RegenerNFI3","RegenerNFI3_EN","RegenerNFI4","RegenerNFI4_EN"
67,42.890308,-4.544335,"A","1",NA,NA,"43","Quercus pyrenaica",11,20,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,100,NA,3,">15 stems",3,">15 stems",NA,NA
68,42.87624031,-4.85072573,NA,NA,"A","1","42","Quercus petraea",NA,NA,2,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,100,100,NA,NA,1,"1–4 stems",1,"1–4 stems"
68,42.87624031,-4.85072573,NA,NA,"A","1","43","Quercus pyrenaica",NA,NA,NA,NA,NA,"2","Thicket",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,3,">15 stems",NA,NA,NA,NA
70,42.878121,-4.764423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,42.878309,-4.752185,"A","1",NA,NA,"21","Pinus sylvestris",45,38,NA,40,NA,NA,NA,4,"Old growth",NA,NA,2,"Artificial","C",NA,NA,NA,NA,NA,NA,100,NA,1,"1–4 stems",NA,NA,NA,NA
73,42.878866,-4.715468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,42.8678215,-4.8501191,NA,NA,"A","4C","21","Pinus sylvestris",NA,NA,7,15,0,NA,NA,2,"Thicket",3,"Polewood",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",NA,100,100,2,"5–15 stems",NA,NA,NA,NA
79,42.86912,-4.764167,"A","4","A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,42.869308,-4.75193,"A","4","A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,42.869864,-4.715219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,42.870047,-4.702981,"A","4","A","1","21","Pinus sylvestris",24,45,65,30,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",90,100,100,0,NA,NA,NA,NA,NA
89,42.871971,-4.568364,"A","4","A","1","43","Quercus pyrenaica",16,25,44,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,100,100,3,">15 stems",3,">15 stems",3,">15 stems"
91,42.872304,-4.543886,"A","1","A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,42.858965,-4.837318,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,42.860494,-4.73944,"A","1",NA,NA,"21","Pinus sylvestris",4,18,NA,25,NA,NA,NA,3,"Polewood",NA,NA,2,"Artificial","I",NA,NA,NA,NA,NA,NA,100,NA,1,"1–4 stems",NA,NA,NA,NA
95,42.860863,-4.714969,"A","4C","A","1","22","Pinus uncinata",NA,3,35,20,0,NA,NA,3,"Polewood",3,"Polewood",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",NA,100,100,2,"5–15 stems",1,"1–4 stems",NA,NA
96,42.861046,-4.702734,"A","4",NA,NA,"21","Pinus sylvestris",1,5,NA,20,NA,"1","Young growth",3,"Polewood",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,60,40,NA,1,"1–4 stems",NA,NA,NA,NA
96,42.861046,-4.702734,"A","4",NA,NA,"22","Pinus uncinata",NA,7,NA,20,NA,NA,NA,3,"Polewood",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,NA,60,NA,1,"1–4 stems",NA,NA,NA,NA
100,42.86246,-4.604846,"A","4","A","4","71","Fagus sylvatica",46,34,56,0,0,"3","Polewood",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",80,100,100,2,"5–15 stems",NA,NA,NA,NA
102,42.86262983,-4.56755122,"A","1","A","1","71","Fagus sylvatica",30,34,32,0,0,"4","Old growth",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",80,80,90,1,"1–4 stems",NA,NA,NA,NA
103,42.863136,-4.555899,"A","3E","A","1","42","Quercus petraea",NA,27,31,0,0,NA,NA,4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,70,70,NA,NA,NA,NA,1,"1–4 stems"
103,42.863136,-4.555899,"A","3E","A","1","71","Fagus sylvatica",15,30,10,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",90,20,20,3,">15 stems",1,"1–4 stems",1,"1–4 stems"
103,42.863136,-4.555899,"A","3E","A","1","74","Corylus avellana",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,10,NA,3,">15 stems",2,"5–15 stems",2,"5–15 stems"
104,42.863302,-4.543662,"A","4","A","1","278","Sorbus aria",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,10,NA,NA,NA,1,"1–4 stems",1,"1–4 stems"
